slot_threshold_count,slot_threshold_count_abs_log1p,slot_threshold_count_sign,slot_threshold_count_is_even,slot_threshold_count_mod3,slot_threshold_count_mod5,slot_threshold_count_mod7,slot_threshold_count_mod10,slot_base_min,slot_base_min_abs_log1p,slot_base_min_is_even,slot_base_min_mod3,slot_base_min_mod5,slot_base_min_mod7,slot_base_min_mod10,gcd_all,n_multiple_pairs,y
5,1.791759469228055,1,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,1,0,31.0
34,3.5553480614894135,1,1,1,4,6,4,10556,9.264544425989694,1,2,1,0,6,2,0,30031.0
17,2.8903717578961645,1,0,2,2,3,7,1435,7.269616749608169,0,1,0,0,5,1,0,2311.0
8,2.1972245773362196,1,1,2,3,1,8,197,5.288267030694535,0,2,2,1,7,1,0,211.0
34,3.5553480614894135,1,1,1,4,6,4,18340,9.816894269951032,1,1,0,0,0,2,0,30031.0
13,2.6390573296152584,1,0,1,3,6,3,182,5.209486152841421,1,2,2,0,2,13,1,211.0
25,3.258096538021482,1,0,1,0,4,5,529,6.272877006546167,0,1,4,4,9,1,0,2311.0
38,3.6635616461296463,1,1,2,3,3,8,7605,8.936692688488204,0,0,0,3,5,1,0,30031.0
28,3.367295829986474,1,1,1,3,0,8,2177,7.686162303492906,0,2,2,0,7,7,0,2311.0
35,3.58351893845611,1,0,2,0,0,5,21649,9.982760733430636,0,1,4,5,9,1,0,30031.0
1,0.6931471805599453,1,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,1,7.0
23,3.1780538303479458,1,0,2,3,2,3,444,6.09807428216624,1,0,4,3,4,1,0,2311.0
30,3.4339872044851463,1,1,0,0,2,0,1669,7.4205789054108005,0,1,4,3,9,1,0,2311.0
31,3.4657359027997265,1,0,1,1,3,1,13943,9.542804587199857,0,2,3,6,3,1,0,30031.0
20,3.044522437723423,1,1,2,0,6,0,1695,7.4360278163518485,0,0,0,1,5,5,0,2311.0
16,2.833213344056216,1,1,1,1,2,6,264,5.579729825986222,1,0,4,5,4,8,0,2311.0
38,3.6635616461296463,1,1,2,3,3,8,9774,9.187583384853566,1,0,4,2,4,2,0,30031.0
9,2.302585092994046,1,0,0,4,2,9,117,4.770684624465665,0,0,2,5,7,9,1,211.0
21,3.091042453358316,1,0,0,1,0,1,968,6.876264611890766,1,2,3,2,8,1,0,2311.0
24,3.2188758248682006,1,1,0,4,3,4,132,4.890349128221754,1,0,2,6,2,12,0,2311.0
13,2.6390573296152584,1,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,1,0,211.0
25,3.258096538021482,1,0,1,0,4,5,1185,7.078341579557671,0,0,0,2,5,5,0,2311.0
34,3.5553480614894135,1,1,1,4,6,4,780,6.660575149839686,1,0,0,3,0,2,0,30031.0
23,3.1780538303479458,1,0,2,3,2,3,2229,7.709756864454165,0,0,4,3,9,1,0,2311.0
33,3.5263605246161616,1,0,0,3,5,3,4804,8.477412321404392,1,1,4,2,4,1,0,30031.0
26,3.295836866004329,1,1,2,1,5,6,353,5.869296913133774,0,2,3,3,3,1,0,2311.0
34,3.5553480614894135,1,1,1,4,6,4,25006,10.126911064657653,1,1,1,2,6,2,0,30031.0
25,3.258096538021482,1,0,1,0,4,5,882,6.78332520060396,1,0,2,0,2,1,0,2311.0
31,3.4657359027997265,1,0,1,1,3,1,1494,7.3098814858247865,1,0,4,3,4,1,0,30031.0
21,3.091042453358316,1,0,0,1,0,1,2103,7.651595573857601,0,0,3,3,3,3,0,2311.0
15,2.772588722239781,1,0,0,0,1,5,1918,7.5595594960077,1,1,3,0,8,1,0,2311.0
24,3.2188758248682006,1,1,0,4,3,4,1185,7.078341579557671,0,0,0,2,5,3,0,2311.0
12,2.5649493574615367,1,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,1,0,211.0
38,3.6635616461296463,1,1,2,3,3,8,13670,9.523032079931992,1,2,0,6,0,2,0,30031.0
34,3.5553480614894135,1,1,1,4,6,4,15745,9.664341643744413,0,1,0,2,5,1,0,30031.0
21,3.091042453358316,1,0,0,1,0,1,2276,7.7306140660637395,1,2,1,1,6,1,0,2311.0
35,3.58351893845611,1,0,2,0,0,5,10398,9.249464926660233,1,0,3,3,8,1,0,30031.0
3,1.3862943611198906,1,0,0,3,3,3,16,2.833213344056216,1,1,1,2,6,1,0,31.0
3,1.3862943611198906,1,0,0,3,3,3,28,3.367295829986474,1,1,3,0,8,1,0,31.0
40,3.713572066704308,1,1,1,0,5,0,12487,9.432523462195268,0,1,2,6,7,1,0,30031.0
29,3.4011973816621555,1,0,2,4,1,9,949,6.856461984594587,0,1,4,4,9,1,0,2311.0
11,2.4849066497880004,1,0,2,1,4,1,134,4.90527477843843,1,2,4,1,4,1,0,211.0
37,3.6375861597263857,1,0,1,2,2,7,10668,9.275097619191461,1,0,3,0,8,1,0,30031.0
18,2.9444389791664403,1,1,0,3,4,8,1015,6.923628628138427,0,1,0,0,5,1,0,2311.0
6,1.9459101490553132,1,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,1,0,31.0
36,3.6109179126442243,1,1,0,1,1,6,2901,7.973155433444133,0,0,1,3,1,3,0,30031.0
12,2.5649493574615367,1,1,0,2,5,2,13,2.6390573296152584,0,1,3,6,3,1,0,211.0
22,3.1354942159291497,1,1,1,2,1,2,904,6.807934943699926,1,1,4,1,4,2,0,2311.0
16,2.833213344056216,1,1,1,1,2,6,286,5.659482215759621,1,1,1,6,6,2,0,2311.0
9,2.302585092994046,1,0,0,4,2,9,119,4.787491742782046,0,2,4,0,9,1,0,211.0
10,2.3978952727983707,1,1,1,0,3,0,57,4.060443010546419,0,0,2,1,7,1,0,211.0
22,3.1354942159291497,1,1,1,2,1,2,683,6.52795791762255,0,2,3,4,3,1,0,2311.0
22,3.1354942159291497,1,1,1,2,1,2,1745,7.465082736399547,0,2,0,2,5,1,0,2311.0
4,1.6094379124341003,1,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,0,31.0
23,3.1780538303479458,1,0,2,3,2,3,1387,7.23561914106675,0,1,2,1,7,1,0,2311.0
25,3.258096538021482,1,0,1,0,4,5,1540,7.340186835320115,1,1,0,0,0,5,0,2311.0
24,3.2188758248682006,1,1,0,4,3,4,1603,7.38025578842646,0,1,3,0,3,1,0,2311.0
39,3.6888794541139363,1,0,0,4,4,9,25438,10.144038708505372,1,1,3,0,8,1,0,30031.0
15,2.772588722239781,1,0,0,0,1,5,1948,7.575071699507561,1,1,3,2,8,1,0,2311.0
16,2.833213344056216,1,1,1,1,2,6,1495,7.310550158534422,0,1,0,4,5,1,0,2311.0
21,3.091042453358316,1,0,0,1,0,1,1671,7.421775793644647,0,0,1,5,1,3,0,2311.0
21,3.091042453358316,1,0,0,1,0,1,2055,7.628517626575055,0,0,0,4,5,3,0,2311.0
16,2.833213344056216,1,1,1,1,2,6,2138,7.668093709082406,1,2,3,3,8,2,0,2311.0
32,3.4965075614664802,1,1,2,2,4,2,24046,10.08776552762847,1,1,1,1,6,2,0,30031.0
32,3.4965075614664802,1,1,2,2,4,2,10167,9.22700081286929,0,0,2,3,7,1,0,30031.0
28,3.367295829986474,1,1,1,3,0,8,2247,7.717796211013582,0,0,2,0,7,7,0,2311.0
39,3.6888794541139363,1,0,0,4,4,9,28726,10.265592726054727,1,1,1,5,6,1,0,30031.0
3,1.3862943611198906,1,0,0,3,3,3,25,3.258096538021482,0,1,0,4,5,1,0,31.0
38,3.6635616461296463,1,1,2,3,3,8,16677,9.72184576464693,0,0,2,3,7,1,0,30031.0
22,3.1354942159291497,1,1,1,2,1,2,1238,7.122059881629142,1,2,3,6,8,2,0,2311.0
18,2.9444389791664403,1,1,0,3,4,8,390,5.968707559985366,1,0,0,5,0,6,0,2311.0
27,3.332204510175204,1,0,0,2,6,7,2157,7.67693714581808,0,0,2,1,7,3,0,2311.0
38,3.6635616461296463,1,1,2,3,3,8,3843,8.254268770090183,0,0,3,0,3,1,0,30031.0
31,3.4657359027997265,1,0,1,1,3,1,8365,9.031931152002144,0,1,0,0,5,1,0,30031.0
19,2.995732273553991,1,0,1,4,5,9,986,6.894670039433482,1,2,1,6,6,1,0,2311.0
13,2.6390573296152584,1,0,1,3,6,3,164,5.10594547390058,1,2,4,3,4,1,0,211.0
22,3.1354942159291497,1,1,1,2,1,2,2260,7.72356247227797,1,1,0,6,0,2,0,2311.0
22,3.1354942159291497,1,1,1,2,1,2,1233,7.1180162044653335,0,0,3,1,3,1,0,2311.0
30,3.4339872044851463,1,1,0,0,2,0,1743,7.463936604468925,0,0,3,0,3,3,0,2311.0
3,1.3862943611198906,1,0,0,3,3,3,11,2.4849066497880004,0,2,1,4,1,1,0,31.0
22,3.1354942159291497,1,1,1,2,1,2,1931,7.566311014772463,0,2,1,6,1,1,0,2311.0
9,2.302585092994046,1,0,0,4,2,9,152,5.030437921392435,1,2,2,5,2,1,0,211.0
10,2.3978952727983707,1,1,1,0,3,0,149,5.0106352940962555,0,2,4,2,9,1,0,211.0
17,2.8903717578961645,1,0,2,2,3,7,1346,7.205635176410364,1,2,1,2,6,1,0,2311.0
29,3.4011973816621555,1,0,2,4,1,9,2127,7.662937850461535,0,0,2,6,7,1,0,2311.0
2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,1,7.0
23,3.1780538303479458,1,0,2,3,2,3,1235,7.119635638017636,0,2,0,3,5,1,0,2311.0
30,3.4339872044851463,1,1,0,0,2,0,783,6.664409020350408,0,0,3,6,3,3,0,2311.0
1,0.6931471805599453,1,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,1,7.0
30,3.4339872044851463,1,1,0,0,2,0,1894,7.546974117516527,1,1,4,4,4,2,0,2311.0
39,3.6888794541139363,1,0,0,4,4,9,16174,9.691222119369101,1,1,4,4,4,1,0,30031.0
18,2.9444389791664403,1,1,0,3,4,8,549,6.309918278226516,0,0,4,3,9,9,0,2311.0
26,3.295836866004329,1,1,2,1,5,6,223,5.4116460518550396,0,1,3,6,3,1,0,2311.0
9,2.302585092994046,1,0,0,4,2,9,19,2.995732273553991,0,1,4,5,9,1,0,211.0
6,1.9459101490553132,1,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,6,1,31.0
4,1.6094379124341003,1,1,1,4,4,4,27,3.332204510175204,0,0,2,6,7,1,0,31.0
13,2.6390573296152584,1,0,1,3,6,3,7,2.0794415416798357,0,1,2,0,7,1,0,211.0
3,1.3862943611198906,1,0,0,3,3,3,24,3.2188758248682006,1,0,4,3,4,3,1,31.0
15,2.772588722239781,1,0,0,0,1,5,820,6.710523109452428,1,1,0,1,0,5,0,2311.0
5,1.791759469228055,1,0,2,0,5,5,26,3.295836866004329,1,2,1,5,6,1,0,31.0
18,2.9444389791664403,1,1,0,3,4,8,1182,7.075808863978387,1,0,2,6,2,6,0,2311.0
28,3.367295829986474,1,1,1,3,0,8,2235,7.71244383427499,0,0,0,2,5,1,0,2311.0
24,3.2188758248682006,1,1,0,4,3,4,180,5.198497031265826,1,0,0,5,0,12,0,2311.0
19,2.995732273553991,1,0,1,4,5,9,1195,7.086737934510577,0,1,0,5,5,1,0,2311.0
35,3.58351893845611,1,0,2,0,0,5,4222,8.348301054933943,1,1,2,1,2,1,0,30031.0
18,2.9444389791664403,1,1,0,3,4,8,2216,7.7039102096163115,1,2,1,4,6,2,0,2311.0
25,3.258096538021482,1,0,1,0,4,5,725,6.587550014824796,0,2,0,4,5,25,1,2311.0
3,1.3862943611198906,1,0,0,3,3,3,13,2.6390573296152584,0,1,3,6,3,1,0,31.0
36,3.6109179126442243,1,1,0,1,1,6,9688,9.178746500385005,1,1,3,0,8,4,0,30031.0
34,3.5553480614894135,1,1,1,4,6,4,21444,9.973246796950981,1,0,4,3,4,2,0,30031.0
15,2.772588722239781,1,0,0,0,1,5,2162,7.679251425953058,1,2,2,6,2,1,0,2311.0
33,3.5263605246161616,1,0,0,3,5,3,17764,9.784985508455128,1,1,4,5,4,1,0,30031.0
17,2.8903717578961645,1,0,2,2,3,7,331,5.805134968916488,0,1,1,2,1,1,0,2311.0
27,3.332204510175204,1,0,0,2,6,7,81,4.406719247264253,0,0,1,4,1,27,1,2311.0
31,3.4657359027997265,1,0,1,1,3,1,5372,8.589141690728821,1,2,2,3,2,1,0,30031.0
3,1.3862943611198906,1,0,0,3,3,3,15,2.772588722239781,0,0,0,1,5,3,1,31.0
8,2.1972245773362196,1,1,2,3,1,8,30,3.4339872044851463,1,0,0,2,0,2,0,211.0
16,2.833213344056216,1,1,1,1,2,6,542,6.297109319933935,1,2,2,3,2,2,0,2311.0
28,3.367295829986474,1,1,1,3,0,8,1677,7.425357887027151,0,0,2,4,7,1,0,2311.0
37,3.6375861597263857,1,0,1,2,2,7,13060,9.47738596957752,1,1,0,5,0,1,0,30031.0
12,2.5649493574615367,1,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,1,0,211.0
19,2.995732273553991,1,0,1,4,5,9,569,6.345636360828596,0,2,4,2,9,1,0,2311.0
38,3.6635616461296463,1,1,2,3,3,8,21582,9.97966124675897,1,0,2,1,2,2,0,30031.0
29,3.4011973816621555,1,0,2,4,1,9,2040,7.621195162809845,1,0,0,3,0,1,0,2311.0
30,3.4339872044851463,1,1,0,0,2,0,884,6.785587645007929,1,2,4,2,4,2,0,2311.0
12,2.5649493574615367,1,1,0,2,5,2,155,5.049856007249537,0,2,0,1,5,1,0,211.0
27,3.332204510175204,1,0,0,2,6,7,696,6.546785410760524,1,0,1,3,6,3,0,2311.0
25,3.258096538021482,1,0,1,0,4,5,1611,7.385230923066573,0,0,1,1,1,1,0,2311.0
34,3.5553480614894135,1,1,1,4,6,4,17270,9.756784073343919,1,2,0,1,0,2,0,30031.0
36,3.6109179126442243,1,1,0,1,1,6,17217,9.7537106272179,0,0,2,4,7,9,0,30031.0
23,3.1780538303479458,1,0,2,3,2,3,2204,7.6984827878809465,1,2,4,6,4,1,0,2311.0
5,1.791759469228055,1,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,5,1,31.0
7,2.0794415416798357,1,0,1,2,0,7,23,3.1780538303479458,0,2,3,2,3,1,0,211.0
8,2.1972245773362196,1,1,2,3,1,8,57,4.060443010546419,0,0,2,1,7,1,0,211.0
14,2.70805020110221,1,1,2,4,0,4,111,4.718498871295094,0,0,1,6,1,1,0,211.0
16,2.833213344056216,1,1,1,1,2,6,1547,7.344719054149673,0,2,2,0,7,1,0,2311.0
24,3.2188758248682006,1,1,0,4,3,4,814,6.703188113240863,1,1,4,2,4,2,0,2311.0
22,3.1354942159291497,1,1,1,2,1,2,1431,7.266827347520591,0,0,1,3,1,1,0,2311.0
7,2.0794415416798357,1,0,1,2,0,7,148,5.003946305945459,1,1,3,1,8,1,0,211.0
40,3.713572066704308,1,1,1,0,5,0,12617,9.442879644930755,0,2,2,3,7,1,0,30031.0
40,3.713572066704308,1,1,1,0,5,0,17029,9.742731773656734,0,1,4,5,9,1,0,30031.0
9,2.302585092994046,1,0,0,4,2,9,156,5.056245805348308,1,0,1,2,6,3,0,211.0
33,3.5263605246161616,1,0,0,3,5,3,2674,7.891704659330107,1,1,4,0,4,1,0,30031.0
14,2.70805020110221,1,1,2,4,0,4,160,5.081404364984463,1,1,0,6,0,2,0,211.0
10,2.3978952727983707,1,1,1,0,3,0,135,4.912654885736052,0,0,0,2,5,5,0,211.0
34,3.5553480614894135,1,1,1,4,6,4,16672,9.721545923560459,1,1,2,5,2,2,0,30031.0
23,3.1780538303479458,1,0,2,3,2,3,2266,7.726212650507529,1,1,1,5,6,1,0,2311.0
3,1.3862943611198906,1,0,0,3,3,3,29,3.4011973816621555,0,2,4,1,9,1,0,31.0
28,3.367295829986474,1,1,1,3,0,8,2197,7.6953031349635665,0,1,2,6,7,1,0,2311.0
25,3.258096538021482,1,0,1,0,4,5,791,6.674561391814426,0,2,1,0,1,1,0,2311.0
6,1.9459101490553132,1,1,0,1,6,6,17,2.8903717578961645,0,2,2,3,7,1,0,31.0
31,3.4657359027997265,1,0,1,1,3,1,12754,9.453678630575912,1,1,4,0,4,1,0,30031.0
11,2.4849066497880004,1,0,2,1,4,1,75,4.330733340286331,0,0,0,5,5,1,0,211.0
7,2.0794415416798357,1,0,1,2,0,7,40,3.713572066704308,1,1,0,5,0,1,0,211.0
32,3.4965075614664802,1,1,2,2,4,2,4175,8.337109129562474,0,2,0,3,5,1,0,30031.0
7,2.0794415416798357,1,0,1,2,0,7,60,4.110873864173311,1,0,0,4,0,1,0,211.0
6,1.9459101490553132,1,1,0,1,6,6,31,3.4657359027997265,0,1,1,3,1,1,0,31.0
26,3.295836866004329,1,1,2,1,5,6,2283,7.7336835707759,0,0,3,1,3,1,0,2311.0
28,3.367295829986474,1,1,1,3,0,8,553,6.317164686747284,0,1,3,0,3,7,0,2311.0
21,3.091042453358316,1,0,0,1,0,1,1646,7.4067107301776405,1,2,1,1,6,1,0,2311.0
25,3.258096538021482,1,0,1,0,4,5,1465,7.290292882446597,0,1,0,2,5,5,0,2311.0
7,2.0794415416798357,1,0,1,2,0,7,102,4.634728988229636,1,0,2,4,2,1,0,211.0
38,3.6635616461296463,1,1,2,3,3,8,15576,9.653550746326605,1,0,1,1,6,2,0,30031.0
27,3.332204510175204,1,0,0,2,6,7,1612,7.385851078125209,1,1,2,2,2,1,0,2311.0
30,3.4339872044851463,1,1,0,0,2,0,996,6.904750769961838,1,0,1,2,6,6,0,2311.0
32,3.4965075614664802,1,1,2,2,4,2,19654,9.88608703785596,1,1,4,5,4,2,0,30031.0
29,3.4011973816621555,1,0,2,4,1,9,159,5.075173815233827,0,0,4,5,9,1,0,2311.0
25,3.258096538021482,1,0,1,0,4,5,303,5.717027701406222,0,0,3,2,3,1,0,2311.0
3,1.3862943611198906,1,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,1,31.0
36,3.6109179126442243,1,1,0,1,1,6,24523,10.107407508882579,0,1,3,2,3,1,0,30031.0
35,3.58351893845611,1,0,2,0,0,5,16155,9.690046776683303,0,0,0,6,5,5,0,30031.0
31,3.4657359027997265,1,0,1,1,3,1,10884,9.295140973668648,1,0,4,6,4,1,0,30031.0
34,3.5553480614894135,1,1,1,4,6,4,6595,8.794218683679489,0,1,0,1,5,1,0,30031.0
5,1.791759469228055,1,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,1,0,31.0
33,3.5263605246161616,1,0,0,3,5,3,29475,10.29133165188689,0,0,0,5,5,3,0,30031.0
19,2.995732273553991,1,0,1,4,5,9,1207,7.0967213784947605,0,1,2,3,7,1,0,2311.0
10,2.3978952727983707,1,1,1,0,3,0,137,4.927253685157205,0,2,2,4,7,1,0,211.0
4,1.6094379124341003,1,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,4,1,31.0
18,2.9444389791664403,1,1,0,3,4,8,1852,7.52456122628536,1,1,2,4,2,2,0,2311.0
9,2.302585092994046,1,0,0,4,2,9,143,4.969813299576001,0,2,3,3,3,1,0,211.0
34,3.5553480614894135,1,1,1,4,6,4,29082,10.27790909001283,1,0,2,4,2,2,0,30031.0
18,2.9444389791664403,1,1,0,3,4,8,2311,7.7458682297922685,0,1,1,1,1,1,0,2311.0
27,3.332204510175204,1,0,0,2,6,7,121,4.804021044733257,0,1,1,2,1,1,0,2311.0
32,3.4965075614664802,1,1,2,2,4,2,14894,9.608780865147382,1,2,4,5,4,2,0,30031.0
4,1.6094379124341003,1,1,1,4,4,4,18,2.9444389791664403,1,0,3,4,8,2,0,31.0
6,1.9459101490553132,1,1,0,1,6,6,24,3.2188758248682006,1,0,4,3,4,6,1,31.0
8,2.1972245773362196,1,1,2,3,1,8,201,5.308267697401205,0,0,1,5,1,1,0,211.0
10,2.3978952727983707,1,1,1,0,3,0,45,3.828641396489095,0,0,0,3,5,5,0,211.0
27,3.332204510175204,1,0,0,2,6,7,2150,7.67368812926773,1,2,0,1,0,1,0,2311.0
25,3.258096538021482,1,0,1,0,4,5,2109,7.6544432264701125,0,0,4,2,9,1,0,2311.0
31,3.4657359027997265,1,0,1,1,3,1,23053,10.045594569160958,0,1,3,2,3,1,0,30031.0
18,2.9444389791664403,1,1,0,3,4,8,557,6.324358962381311,0,2,2,4,7,1,0,2311.0
28,3.367295829986474,1,1,1,3,0,8,183,5.214935757608986,0,0,3,1,3,1,0,2311.0
