slot_R,slot_R_abs_log1p,slot_R_is_even,slot_R_mod3,slot_R_mod5,slot_R_mod7,slot_R_mod10,slot_r,slot_r_abs_log1p,slot_r_is_even,slot_r_mod3,slot_r_mod5,slot_r_mod7,slot_r_mod10,slot_triangle_name,gcd_all,n_multiple_pairs,y
27,3.332204510175204,0,0,2,6,7,4,1.6094379124341003,1,1,4,4,4,3,1,0,648.0
59,4.0943445622221,0,2,4,3,9,21,3.091042453358316,0,0,1,0,1,3,1,0,7434.0
93,4.543294782270004,0,0,3,2,3,21,3.091042453358316,0,0,1,0,1,1,3,0,11718.0
82,4.418840607796598,1,1,2,5,2,13,2.6390573296152584,0,1,3,6,3,2,1,0,6396.0
77,4.356708826689592,0,2,2,0,7,9,2.302585092994046,0,0,4,2,9,0,1,0,4158.0
23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,1,1,0,828.0
45,3.828641396489095,0,0,0,3,5,22,3.1354942159291497,1,1,2,1,2,1,1,0,5940.0
41,3.7376696182833684,0,2,1,6,1,1,0.6931471805599453,0,1,1,1,1,2,1,1,246.0
48,3.8918202981106265,1,0,3,6,8,10,2.3978952727983707,1,1,0,3,0,2,2,0,2880.0
87,4.477336814478207,0,0,2,3,7,27,3.332204510175204,0,0,2,6,7,1,3,0,14094.0
99,4.605170185988092,0,0,4,1,9,4,1.6094379124341003,1,1,4,4,4,2,1,0,2376.0
80,4.394449154672439,1,2,0,3,0,30,3.4339872044851463,1,0,0,2,0,3,10,0,14400.0
79,4.382026634673881,0,1,4,2,9,22,3.1354942159291497,1,1,2,1,2,0,1,0,10428.0
58,4.07753744390572,1,1,3,2,8,20,3.044522437723423,1,2,0,6,0,3,2,0,6960.0
76,4.343805421853684,1,1,1,6,6,12,2.5649493574615367,1,0,2,5,2,1,4,0,5472.0
92,4.532599493153256,1,2,2,1,2,21,3.091042453358316,0,0,1,0,1,2,1,0,11592.0
77,4.356708826689592,0,2,2,0,7,21,3.091042453358316,0,0,1,0,1,3,7,0,9702.0
73,4.30406509320417,0,1,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1,0,1752.0
99,4.605170185988092,0,0,4,1,9,11,2.4849066497880004,0,2,1,4,1,1,11,1,6534.0
15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,3,3,1,270.0
98,4.59511985013459,1,2,3,0,8,21,3.091042453358316,0,0,1,0,1,2,7,0,12348.0
36,3.6109179126442243,1,0,1,1,6,5,1.791759469228055,0,2,0,5,5,2,1,0,1080.0
71,4.276666119016055,0,2,1,1,1,12,2.5649493574615367,1,0,2,5,2,1,1,0,5112.0
52,3.970291913552122,1,1,2,3,2,10,2.3978952727983707,1,1,0,3,0,3,2,0,3120.0
31,3.4657359027997265,0,1,1,3,1,14,2.70805020110221,1,2,4,0,4,3,1,0,2604.0
82,4.418840607796598,1,1,2,5,2,20,3.044522437723423,1,2,0,6,0,2,2,0,9840.0
65,4.189654742026425,0,2,0,2,5,15,2.772588722239781,0,0,0,1,5,0,5,0,5850.0
51,3.9512437185814275,0,0,1,2,1,23,3.1780538303479458,0,2,3,2,3,0,1,0,7038.0
87,4.477336814478207,0,0,2,3,7,24,3.2188758248682006,1,0,4,3,4,2,3,0,12528.0
28,3.367295829986474,1,1,3,0,8,5,1.791759469228055,0,2,0,5,5,3,1,0,840.0
100,4.61512051684126,1,1,0,2,0,22,3.1354942159291497,1,1,2,1,2,3,2,0,13200.0
75,4.330733340286331,0,0,0,5,5,5,1.791759469228055,0,2,0,5,5,2,5,1,2250.0
48,3.8918202981106265,1,0,3,6,8,17,2.8903717578961645,0,2,2,3,7,2,1,0,4896.0
54,4.007333185232471,1,0,4,5,4,14,2.70805020110221,1,2,4,0,4,2,2,0,4536.0
45,3.828641396489095,0,0,0,3,5,22,3.1354942159291497,1,1,2,1,2,0,1,0,5940.0
65,4.189654742026425,0,2,0,2,5,9,2.302585092994046,0,0,4,2,9,0,1,0,3510.0
71,4.276666119016055,0,2,1,1,1,30,3.4339872044851463,1,0,0,2,0,0,1,0,12780.0
45,3.828641396489095,0,0,0,3,5,18,2.9444389791664403,1,0,3,4,8,1,9,0,4860.0
66,4.204692619390966,1,0,1,3,6,26,3.295836866004329,1,2,1,5,6,0,2,0,10296.0
65,4.189654742026425,0,2,0,2,5,22,3.1354942159291497,1,1,2,1,2,3,1,0,8580.0
92,4.532599493153256,1,2,2,1,2,8,2.1972245773362196,1,2,3,1,8,2,4,0,4416.0
74,4.31748811353631,1,2,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,2,0,1776.0
62,4.143134726391533,1,2,2,6,2,6,1.9459101490553132,1,0,1,6,6,1,2,0,2232.0
28,3.367295829986474,1,1,3,0,8,10,2.3978952727983707,1,1,0,3,0,1,2,0,1680.0
78,4.3694478524670215,1,0,3,1,8,21,3.091042453358316,0,0,1,0,1,3,3,0,9828.0
53,3.9889840465642745,0,2,3,4,3,1,0.6931471805599453,0,1,1,1,1,2,1,1,318.0
35,3.58351893845611,0,2,0,0,5,17,2.8903717578961645,0,2,2,3,7,2,1,0,3570.0
43,3.784189633918261,0,1,3,1,3,4,1.6094379124341003,1,1,4,4,4,3,1,0,1032.0
74,4.31748811353631,1,2,4,4,4,29,3.4011973816621555,0,2,4,1,9,3,1,0,12876.0
94,4.553876891600541,1,1,4,3,4,5,1.791759469228055,0,2,0,5,5,2,1,0,2820.0
47,3.871201010907891,0,2,2,5,7,22,3.1354942159291497,1,1,2,1,2,2,1,0,6204.0
56,4.04305126783455,1,2,1,0,6,25,3.258096538021482,0,1,0,4,5,3,1,0,8400.0
71,4.276666119016055,0,2,1,1,1,27,3.332204510175204,0,0,2,6,7,3,1,0,11502.0
48,3.8918202981106265,1,0,3,6,8,18,2.9444389791664403,1,0,3,4,8,2,6,0,5184.0
40,3.713572066704308,1,1,0,5,0,11,2.4849066497880004,0,2,1,4,1,3,1,0,2640.0
93,4.543294782270004,0,0,3,2,3,20,3.044522437723423,1,2,0,6,0,3,1,0,11160.0
69,4.248495242049359,0,0,4,6,9,28,3.367295829986474,1,1,3,0,8,1,1,0,11592.0
59,4.0943445622221,0,2,4,3,9,8,2.1972245773362196,1,2,3,1,8,0,1,0,2832.0
59,4.0943445622221,0,2,4,3,9,26,3.295836866004329,1,2,1,5,6,1,1,0,9204.0
83,4.430816798843313,0,2,3,6,3,27,3.332204510175204,0,0,2,6,7,1,1,0,13446.0
9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,1,3,1,162.0
91,4.5217885770490405,0,1,1,0,1,20,3.044522437723423,1,2,0,6,0,0,1,0,10920.0
70,4.2626798770413155,1,1,0,0,0,14,2.70805020110221,1,2,4,0,4,3,14,1,5880.0
73,4.30406509320417,0,1,3,3,3,21,3.091042453358316,0,0,1,0,1,3,1,0,9198.0
95,4.564348191467836,0,2,0,4,5,1,0.6931471805599453,0,1,1,1,1,1,1,1,570.0
53,3.9889840465642745,0,2,3,4,3,14,2.70805020110221,1,2,4,0,4,1,1,0,4452.0
72,4.290459441148391,1,0,2,2,2,17,2.8903717578961645,0,2,2,3,7,1,1,0,7344.0
98,4.59511985013459,1,2,3,0,8,8,2.1972245773362196,1,2,3,1,8,3,2,0,4704.0
79,4.382026634673881,0,1,4,2,9,19,2.995732273553991,0,1,4,5,9,1,1,0,9006.0
81,4.406719247264253,0,0,1,4,1,29,3.4011973816621555,0,2,4,1,9,1,1,0,14094.0
61,4.127134385045092,0,1,1,5,1,27,3.332204510175204,0,0,2,6,7,2,1,0,9882.0
92,4.532599493153256,1,2,2,1,2,13,2.6390573296152584,0,1,3,6,3,3,1,0,7176.0
27,3.332204510175204,0,0,2,6,7,11,2.4849066497880004,0,2,1,4,1,0,1,0,1782.0
34,3.5553480614894135,1,1,4,6,4,11,2.4849066497880004,0,2,1,4,1,2,1,0,2244.0
27,3.332204510175204,0,0,2,6,7,8,2.1972245773362196,1,2,3,1,8,2,1,0,1296.0
36,3.6109179126442243,1,0,1,1,6,9,2.302585092994046,0,0,4,2,9,1,9,1,1944.0
64,4.174387269895637,1,1,4,1,4,15,2.772588722239781,0,0,0,1,5,2,1,0,5760.0
97,4.584967478670572,0,1,2,6,7,27,3.332204510175204,0,0,2,6,7,1,1,0,15714.0
47,3.871201010907891,0,2,2,5,7,1,0.6931471805599453,0,1,1,1,1,2,1,1,282.0
94,4.553876891600541,1,1,4,3,4,27,3.332204510175204,0,0,2,6,7,1,1,0,15228.0
20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,0,5,1,600.0
86,4.465908118654584,1,2,1,2,6,23,3.1780538303479458,0,2,3,2,3,3,1,0,11868.0
26,3.295836866004329,1,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,3,1,0,468.0
85,4.454347296253507,0,1,0,1,5,17,2.8903717578961645,0,2,2,3,7,0,17,1,8670.0
44,3.8066624897703196,1,2,4,2,4,17,2.8903717578961645,0,2,2,3,7,3,1,0,4488.0
80,4.394449154672439,1,2,0,3,0,27,3.332204510175204,0,0,2,6,7,2,1,0,12960.0
15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,1,3,0,540.0
70,4.2626798770413155,1,1,0,0,0,20,3.044522437723423,1,2,0,6,0,2,10,0,8400.0
33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,3,3,1,594.0
24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,1,1,1,144.0
89,4.499809670330265,0,2,4,5,9,8,2.1972245773362196,1,2,3,1,8,2,1,0,4272.0
34,3.5553480614894135,1,1,4,6,4,17,2.8903717578961645,0,2,2,3,7,2,17,1,3468.0
48,3.8918202981106265,1,0,3,6,8,10,2.3978952727983707,1,1,0,3,0,1,2,0,2880.0
93,4.543294782270004,0,0,3,2,3,17,2.8903717578961645,0,2,2,3,7,2,1,0,9486.0
91,4.5217885770490405,0,1,1,0,1,11,2.4849066497880004,0,2,1,4,1,1,1,0,6006.0
95,4.564348191467836,0,2,0,4,5,15,2.772588722239781,0,0,0,1,5,3,5,0,8550.0
75,4.330733340286331,0,0,0,5,5,10,2.3978952727983707,1,1,0,3,0,2,5,0,4500.0
70,4.2626798770413155,1,1,0,0,0,18,2.9444389791664403,1,0,3,4,8,1,2,0,7560.0
66,4.204692619390966,1,0,1,3,6,12,2.5649493574615367,1,0,2,5,2,3,6,0,4752.0
71,4.276666119016055,0,2,1,1,1,11,2.4849066497880004,0,2,1,4,1,0,1,0,4686.0
55,4.02535169073515,0,1,0,6,5,21,3.091042453358316,0,0,1,0,1,0,1,0,6930.0
90,4.51085950651685,1,0,0,6,0,25,3.258096538021482,0,1,0,4,5,3,5,0,13500.0
46,3.8501476017100584,1,1,1,4,6,13,2.6390573296152584,0,1,3,6,3,2,1,0,3588.0
32,3.4965075614664802,1,2,2,4,2,11,2.4849066497880004,0,2,1,4,1,2,1,0,2112.0
61,4.127134385045092,0,1,1,5,1,18,2.9444389791664403,1,0,3,4,8,3,1,0,6588.0
38,3.6635616461296463,1,2,3,3,8,16,2.833213344056216,1,1,1,2,6,2,2,0,3648.0
66,4.204692619390966,1,0,1,3,6,6,1.9459101490553132,1,0,1,6,6,3,6,1,2376.0
100,4.61512051684126,1,1,0,2,0,17,2.8903717578961645,0,2,2,3,7,2,1,0,10200.0
33,3.5263605246161616,0,0,3,5,3,15,2.772588722239781,0,0,0,1,5,2,3,0,2970.0
18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,1,2,0,432.0
21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,1,1,0,630.0
66,4.204692619390966,1,0,1,3,6,23,3.1780538303479458,0,2,3,2,3,0,1,0,9108.0
98,4.59511985013459,1,2,3,0,8,25,3.258096538021482,0,1,0,4,5,0,1,0,14700.0
88,4.48863636973214,1,1,3,4,8,28,3.367295829986474,1,1,3,0,8,2,4,0,14784.0
72,4.290459441148391,1,0,2,2,2,11,2.4849066497880004,0,2,1,4,1,1,1,0,4752.0
17,2.8903717578961645,0,2,2,3,7,8,2.1972245773362196,1,2,3,1,8,0,1,0,816.0
48,3.8918202981106265,1,0,3,6,8,20,3.044522437723423,1,2,0,6,0,3,4,0,5760.0
87,4.477336814478207,0,0,2,3,7,12,2.5649493574615367,1,0,2,5,2,2,3,0,6264.0
83,4.430816798843313,0,2,3,6,3,11,2.4849066497880004,0,2,1,4,1,2,1,0,5478.0
52,3.970291913552122,1,1,2,3,2,13,2.6390573296152584,0,1,3,6,3,1,13,1,4056.0
65,4.189654742026425,0,2,0,2,5,28,3.367295829986474,1,1,3,0,8,0,1,0,10920.0
55,4.02535169073515,0,1,0,6,5,1,0.6931471805599453,0,1,1,1,1,0,1,1,330.0
35,3.58351893845611,0,2,0,0,5,16,2.833213344056216,1,1,1,2,6,0,1,0,3360.0
79,4.382026634673881,0,1,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,1,0,948.0
88,4.48863636973214,1,1,3,4,8,4,1.6094379124341003,1,1,4,4,4,0,4,1,2112.0
77,4.356708826689592,0,2,2,0,7,22,3.1354942159291497,1,1,2,1,2,1,11,0,10164.0
37,3.6375861597263857,0,1,2,2,7,9,2.302585092994046,0,0,4,2,9,1,1,0,1998.0
33,3.5263605246161616,0,0,3,5,3,9,2.302585092994046,0,0,4,2,9,0,3,0,1782.0
93,4.543294782270004,0,0,3,2,3,27,3.332204510175204,0,0,2,6,7,2,3,0,15066.0
46,3.8501476017100584,1,1,1,4,6,21,3.091042453358316,0,0,1,0,1,1,1,0,5796.0
37,3.6375861597263857,0,1,2,2,7,10,2.3978952727983707,1,1,0,3,0,3,1,0,2220.0
93,4.543294782270004,0,0,3,2,3,11,2.4849066497880004,0,2,1,4,1,0,1,0,6138.0
41,3.7376696182833684,0,2,1,6,1,10,2.3978952727983707,1,1,0,3,0,0,1,0,2460.0
49,3.912023005428146,0,1,4,0,9,22,3.1354942159291497,1,1,2,1,2,1,1,0,6468.0
65,4.189654742026425,0,2,0,2,5,1,0.6931471805599453,0,1,1,1,1,3,1,1,390.0
64,4.174387269895637,1,1,4,1,4,15,2.772588722239781,0,0,0,1,5,1,1,0,5760.0
89,4.499809670330265,0,2,4,5,9,26,3.295836866004329,1,2,1,5,6,3,1,0,13884.0
95,4.564348191467836,0,2,0,4,5,29,3.4011973816621555,0,2,4,1,9,2,1,0,16530.0
68,4.23410650459726,1,2,3,5,8,30,3.4339872044851463,1,0,0,2,0,0,2,0,12240.0
44,3.8066624897703196,1,2,4,2,4,12,2.5649493574615367,1,0,2,5,2,3,4,0,3168.0
40,3.713572066704308,1,1,0,5,0,17,2.8903717578961645,0,2,2,3,7,3,1,0,4080.0
62,4.143134726391533,1,2,2,6,2,24,3.2188758248682006,1,0,4,3,4,2,2,0,8928.0
71,4.276666119016055,0,2,1,1,1,26,3.295836866004329,1,2,1,5,6,2,1,0,11076.0
49,3.912023005428146,0,1,4,0,9,1,0.6931471805599453,0,1,1,1,1,1,1,1,294.0
86,4.465908118654584,1,2,1,2,6,25,3.258096538021482,0,1,0,4,5,3,1,0,12900.0
62,4.143134726391533,1,2,2,6,2,15,2.772588722239781,0,0,0,1,5,3,1,0,5580.0
82,4.418840607796598,1,1,2,5,2,22,3.1354942159291497,1,1,2,1,2,0,2,0,10824.0
98,4.59511985013459,1,2,3,0,8,6,1.9459101490553132,1,0,1,6,6,1,2,0,3528.0
68,4.23410650459726,1,2,3,5,8,12,2.5649493574615367,1,0,2,5,2,0,4,0,4896.0
37,3.6375861597263857,0,1,2,2,7,12,2.5649493574615367,1,0,2,5,2,0,1,0,2664.0
97,4.584967478670572,0,1,2,6,7,25,3.258096538021482,0,1,0,4,5,1,1,0,14550.0
44,3.8066624897703196,1,2,4,2,4,19,2.995732273553991,0,1,4,5,9,3,1,0,5016.0
59,4.0943445622221,0,2,4,3,9,9,2.302585092994046,0,0,4,2,9,0,1,0,3186.0
61,4.127134385045092,0,1,1,5,1,21,3.091042453358316,0,0,1,0,1,1,1,0,7686.0
93,4.543294782270004,0,0,3,2,3,30,3.4339872044851463,1,0,0,2,0,1,3,0,16740.0
65,4.189654742026425,0,2,0,2,5,3,1.3862943611198906,0,0,3,3,3,3,1,0,1170.0
100,4.61512051684126,1,1,0,2,0,4,1.6094379124341003,1,1,4,4,4,2,4,1,2400.0
26,3.295836866004329,1,2,1,5,6,13,2.6390573296152584,0,1,3,6,3,0,13,1,2028.0
71,4.276666119016055,0,2,1,1,1,24,3.2188758248682006,1,0,4,3,4,3,1,0,10224.0
97,4.584967478670572,0,1,2,6,7,29,3.4011973816621555,0,2,4,1,9,1,1,0,16878.0
94,4.553876891600541,1,1,4,3,4,4,1.6094379124341003,1,1,4,4,4,0,2,0,2256.0
55,4.02535169073515,0,1,0,6,5,26,3.295836866004329,1,2,1,5,6,1,1,0,8580.0
74,4.31748811353631,1,2,4,4,4,27,3.332204510175204,0,0,2,6,7,0,1,0,11988.0
95,4.564348191467836,0,2,0,4,5,1,0.6931471805599453,0,1,1,1,1,0,1,1,570.0
54,4.007333185232471,1,0,4,5,4,23,3.1780538303479458,0,2,3,2,3,0,1,0,7452.0
43,3.784189633918261,0,1,3,1,3,6,1.9459101490553132,1,0,1,6,6,3,1,0,1548.0
26,3.295836866004329,1,2,1,5,6,7,2.0794415416798357,0,1,2,0,7,1,1,0,1092.0
59,4.0943445622221,0,2,4,3,9,23,3.1780538303479458,0,2,3,2,3,1,1,0,8142.0
57,4.060443010546419,0,0,2,1,7,25,3.258096538021482,0,1,0,4,5,1,1,0,8550.0
45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,1,5,1,1350.0
55,4.02535169073515,0,1,0,6,5,19,2.995732273553991,0,1,4,5,9,3,1,0,6270.0
57,4.060443010546419,0,0,2,1,7,20,3.044522437723423,1,2,0,6,0,1,1,0,6840.0
56,4.04305126783455,1,2,1,0,6,22,3.1354942159291497,1,1,2,1,2,1,2,0,7392.0
50,3.9318256327243257,1,2,0,1,0,21,3.091042453358316,0,0,1,0,1,0,1,0,6300.0
44,3.8066624897703196,1,2,4,2,4,18,2.9444389791664403,1,0,3,4,8,2,2,0,4752.0
83,4.430816798843313,0,2,3,6,3,21,3.091042453358316,0,0,1,0,1,1,1,0,10458.0
83,4.430816798843313,0,2,3,6,3,18,2.9444389791664403,1,0,3,4,8,2,1,0,8964.0
61,4.127134385045092,0,1,1,5,1,28,3.367295829986474,1,1,3,0,8,2,1,0,10248.0
74,4.31748811353631,1,2,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,2,0,3552.0
62,4.143134726391533,1,2,2,6,2,1,0.6931471805599453,0,1,1,1,1,3,1,1,372.0
82,4.418840607796598,1,1,2,5,2,25,3.258096538021482,0,1,0,4,5,0,1,0,12300.0
72,4.290459441148391,1,0,2,2,2,22,3.1354942159291497,1,1,2,1,2,2,2,0,9504.0
54,4.007333185232471,1,0,4,5,4,6,1.9459101490553132,1,0,1,6,6,0,6,1,1944.0
97,4.584967478670572,0,1,2,6,7,19,2.995732273553991,0,1,4,5,9,1,1,0,11058.0
76,4.343805421853684,1,1,1,6,6,26,3.295836866004329,1,2,1,5,6,3,2,0,11856.0
50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,3,1,0,900.0
85,4.454347296253507,0,1,0,1,5,12,2.5649493574615367,1,0,2,5,2,3,1,0,6120.0
69,4.248495242049359,0,0,4,6,9,3,1.3862943611198906,0,0,3,3,3,2,3,1,1242.0
97,4.584967478670572,0,1,2,6,7,5,1.791759469228055,0,2,0,5,5,2,1,0,2910.0
75,4.330733340286331,0,0,0,5,5,15,2.772588722239781,0,0,0,1,5,1,15,1,6750.0
42,3.7612001156935624,1,0,2,0,2,8,2.1972245773362196,1,2,3,1,8,1,2,0,2016.0
85,4.454347296253507,0,1,0,1,5,17,2.8903717578961645,0,2,2,3,7,3,17,1,8670.0
96,4.574710978503383,1,0,1,5,6,10,2.3978952727983707,1,1,0,3,0,1,2,0,5760.0
66,4.204692619390966,1,0,1,3,6,30,3.4339872044851463,1,0,0,2,0,3,6,0,11880.0
77,4.356708826689592,0,2,2,0,7,22,3.1354942159291497,1,1,2,1,2,3,11,0,10164.0
62,4.143134726391533,1,2,2,6,2,2,1.0986122886681098,1,2,2,2,2,0,2,1,744.0
99,4.605170185988092,0,0,4,1,9,24,3.2188758248682006,1,0,4,3,4,0,3,0,14256.0
91,4.5217885770490405,0,1,1,0,1,10,2.3978952727983707,1,1,0,3,0,2,1,0,5460.0
55,4.02535169073515,0,1,0,6,5,9,2.302585092994046,0,0,4,2,9,3,1,0,2970.0
60,4.110873864173311,1,0,0,4,0,23,3.1780538303479458,0,2,3,2,3,1,1,0,8280.0
74,4.31748811353631,1,2,4,4,4,12,2.5649493574615367,1,0,2,5,2,3,2,0,5328.0
79,4.382026634673881,0,1,4,2,9,2,1.0986122886681098,1,2,2,2,2,2,1,0,948.0
61,4.127134385045092,0,1,1,5,1,2,1.0986122886681098,1,2,2,2,2,2,1,0,732.0
89,4.499809670330265,0,2,4,5,9,22,3.1354942159291497,1,1,2,1,2,0,1,0,11748.0
87,4.477336814478207,0,0,2,3,7,6,1.9459101490553132,1,0,1,6,6,0,3,0,3132.0
72,4.290459441148391,1,0,2,2,2,27,3.332204510175204,0,0,2,6,7,1,9,0,11664.0
33,3.5263605246161616,0,0,3,5,3,2,1.0986122886681098,1,2,2,2,2,3,1,0,396.0
50,3.9318256327243257,1,2,0,1,0,25,3.258096538021482,0,1,0,4,5,0,25,1,7500.0
73,4.30406509320417,0,1,3,3,3,24,3.2188758248682006,1,0,4,3,4,2,1,0,10512.0
47,3.871201010907891,0,2,2,5,7,2,1.0986122886681098,1,2,2,2,2,1,1,0,564.0
66,4.204692619390966,1,0,1,3,6,26,3.295836866004329,1,2,1,5,6,1,2,0,10296.0
58,4.07753744390572,1,1,3,2,8,18,2.9444389791664403,1,0,3,4,8,0,2,0,6264.0
62,4.143134726391533,1,2,2,6,2,16,2.833213344056216,1,1,1,2,6,2,2,0,5952.0
84,4.442651256490317,1,0,4,0,4,14,2.70805020110221,1,2,4,0,4,2,14,1,7056.0
78,4.3694478524670215,1,0,3,1,8,10,2.3978952727983707,1,1,0,3,0,3,2,0,4680.0
34,3.5553480614894135,1,1,4,6,4,15,2.772588722239781,0,0,0,1,5,3,1,0,3060.0
86,4.465908118654584,1,2,1,2,6,10,2.3978952727983707,1,1,0,3,0,2,2,0,5160.0
94,4.553876891600541,1,1,4,3,4,20,3.044522437723423,1,2,0,6,0,3,2,0,11280.0
32,3.4965075614664802,1,2,2,4,2,16,2.833213344056216,1,1,1,2,6,1,16,1,3072.0
92,4.532599493153256,1,2,2,1,2,25,3.258096538021482,0,1,0,4,5,2,1,0,13800.0
53,3.9889840465642745,0,2,3,4,3,21,3.091042453358316,0,0,1,0,1,2,1,0,6678.0
65,4.189654742026425,0,2,0,2,5,10,2.3978952727983707,1,1,0,3,0,1,5,0,3900.0
92,4.532599493153256,1,2,2,1,2,3,1.3862943611198906,0,0,3,3,3,1,1,0,1656.0
77,4.356708826689592,0,2,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,1,0,1386.0
67,4.219507705176107,0,1,2,4,7,26,3.295836866004329,1,2,1,5,6,2,1,0,10452.0
74,4.31748811353631,1,2,4,4,4,26,3.295836866004329,1,2,1,5,6,3,2,0,11544.0
60,4.110873864173311,1,0,0,4,0,9,2.302585092994046,0,0,4,2,9,3,3,0,3240.0
51,3.9512437185814275,0,0,1,2,1,21,3.091042453358316,0,0,1,0,1,2,3,0,6426.0
72,4.290459441148391,1,0,2,2,2,7,2.0794415416798357,0,1,2,0,7,0,1,0,3024.0
43,3.784189633918261,0,1,3,1,3,6,1.9459101490553132,1,0,1,6,6,2,1,0,1548.0
96,4.574710978503383,1,0,1,5,6,20,3.044522437723423,1,2,0,6,0,2,4,0,11520.0
48,3.8918202981106265,1,0,3,6,8,12,2.5649493574615367,1,0,2,5,2,1,12,1,3456.0
56,4.04305126783455,1,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,0,4,1,1344.0
85,4.454347296253507,0,1,0,1,5,24,3.2188758248682006,1,0,4,3,4,0,1,0,12240.0
56,4.04305126783455,1,2,1,0,6,27,3.332204510175204,0,0,2,6,7,3,1,0,9072.0
62,4.143134726391533,1,2,2,6,2,24,3.2188758248682006,1,0,4,3,4,3,2,0,8928.0
77,4.356708826689592,0,2,2,0,7,3,1.3862943611198906,0,0,3,3,3,0,1,0,1386.0
80,4.394449154672439,1,2,0,3,0,10,2.3978952727983707,1,1,0,3,0,2,10,1,4800.0
70,4.2626798770413155,1,1,0,0,0,25,3.258096538021482,0,1,0,4,5,1,5,0,10500.0
67,4.219507705176107,0,1,2,4,7,5,1.791759469228055,0,2,0,5,5,3,1,0,2010.0
87,4.477336814478207,0,0,2,3,7,26,3.295836866004329,1,2,1,5,6,3,1,0,13572.0
90,4.51085950651685,1,0,0,6,0,30,3.4339872044851463,1,0,0,2,0,1,30,1,16200.0
43,3.784189633918261,0,1,3,1,3,10,2.3978952727983707,1,1,0,3,0,0,1,0,2580.0
69,4.248495242049359,0,0,4,6,9,6,1.9459101490553132,1,0,1,6,6,3,3,0,2484.0
88,4.48863636973214,1,1,3,4,8,30,3.4339872044851463,1,0,0,2,0,0,2,0,15840.0
53,3.9889840465642745,0,2,3,4,3,8,2.1972245773362196,1,2,3,1,8,2,1,0,2544.0
