slot_total_listed,slot_total_listed_abs_log1p,slot_total_listed_is_even,slot_total_listed_mod3,slot_total_listed_mod5,slot_total_listed_mod7,slot_total_listed_mod10,slot_alice_name,slot_bob_name,gcd_all,y
350057,12.765854134022215,0,2,2,1,7,1,4,350057,112.0
369717,12.820495831865003,0,0,2,5,7,4,1,369717,92.0
410595,12.92536504167831,0,0,0,3,5,0,2,410595,95.0
53117,10.880271132839104,0,2,2,1,7,1,4,53117,99.0
73349,11.202997783571128,0,2,4,3,9,3,2,73349,75.0
348174,12.760460505921293,1,0,4,1,4,1,1,348174,73.0
67683,11.122605094188517,0,0,3,0,3,0,0,67683,45.0
205915,12.23522359762186,0,1,0,3,5,1,3,205915,79.0
464522,13.048766351618355,1,2,2,2,2,2,2,464522,102.0
297010,12.601524454136019,1,1,0,0,0,4,3,297010,60.0
347095,12.757356677727007,0,1,0,0,5,3,3,347095,108.0
375078,12.834891949432109,1,0,3,4,8,1,0,375078,111.0
373395,12.83039479765959,0,0,0,1,5,2,4,373395,105.0
404394,12.910147402055975,1,0,4,4,4,4,3,404394,102.0
338483,12.732232102861348,0,2,3,5,3,2,1,338483,86.0
181620,12.109677377230202,1,0,0,5,0,2,2,181620,90.0
110108,11.609226063239133,1,2,3,5,8,0,4,110108,92.0
439932,12.994377721572503,1,0,2,3,2,2,0,439932,126.0
474,6.163314804034641,1,0,4,5,4,1,3,474,35.0
152615,11.935680241615353,0,2,0,1,5,2,2,152615,69.0
18392,9.819725436430797,1,2,2,3,2,4,4,18392,69.0
32897,10.401167144632103,0,2,2,4,7,4,4,32897,25.0
361045,12.796760653020007,0,1,0,6,5,0,0,361045,78.0
318088,12.67008649681867,1,1,3,1,8,3,2,318088,97.0
318675,12.671930191639452,0,0,0,0,5,3,4,318675,109.0
462711,13.044860109289719,0,0,1,4,1,2,4,462711,120.0
374480,12.833296346339965,1,2,0,1,0,4,2,374480,120.0
75405,11.230642126426895,0,0,0,1,5,3,2,75405,68.0
449138,13.015087695652786,1,2,3,4,8,4,4,449138,123.0
287211,12.567975898013136,0,0,1,1,1,4,3,287211,85.0
214815,12.277537126738478,0,0,0,6,5,0,2,214815,95.0
351682,12.770485480643266,1,1,2,2,2,2,2,351682,113.0
250043,12.429392181358201,0,2,3,3,3,4,2,250043,105.0
232273,12.355672988258615,0,1,3,6,3,0,0,232273,95.0
209794,12.253886142439178,1,1,4,4,4,0,4,209794,91.0
12815,9.458449669308141,0,2,0,5,5,0,4,12815,47.0
201516,12.213629024055816,1,0,1,0,6,3,2,201516,80.0
102636,11.538953770491355,1,0,1,2,6,3,2,102636,74.0
120248,11.697319871925114,1,2,3,2,8,2,4,120248,104.0
18804,9.841878070904437,1,0,4,2,4,0,3,18804,57.0
19538,9.88016774721451,1,2,3,1,8,4,2,19538,52.0
439677,12.993797919802985,0,0,2,0,7,1,1,439677,126.0
377725,12.841924344033222,0,1,0,5,5,2,1,377725,112.0
357994,12.788274298804858,1,1,4,0,4,3,0,357994,118.0
302960,12.621359363336007,1,2,0,0,0,4,3,302960,108.0
172618,12.058842132685383,1,1,3,5,8,2,1,172618,71.0
51128,10.842107129893346,1,2,3,0,8,0,2,51128,84.0
399381,12.897673631346875,0,0,1,3,1,4,2,399381,71.0
349823,12.765185449847685,0,2,3,5,3,4,3,349823,113.0
63328,11.056098639081055,1,1,3,6,8,1,1,63328,101.0
163377,12.003821813420517,0,0,2,4,7,1,1,163377,105.0
414431,12.934664187023314,0,2,1,3,1,0,0,414431,105.0
16678,9.721905722077173,1,1,3,4,8,1,4,16678,35.0
245419,12.410726307530538,0,1,4,6,9,3,0,245419,132.0
164492,12.010623295090662,1,2,2,6,2,3,4,164492,59.0
12152,9.4053313318708,1,2,2,0,2,3,1,12152,78.0
120059,11.695746896805835,0,2,4,2,9,1,1,120059,105.0
89792,11.405262300249726,1,2,2,3,2,3,4,89792,93.0
176004,12.078267682707667,1,0,4,3,4,2,1,176004,101.0
474058,13.069087065504986,1,1,3,4,8,4,4,474058,133.0
434503,12.9819604296291,0,1,3,6,3,1,1,434503,89.0
326245,12.695406977007481,0,1,0,3,5,0,4,326245,116.0
24434,10.103771809704256,1,2,4,4,4,0,1,24434,90.0
281396,12.547521762624786,1,2,1,3,6,1,2,281396,79.0
431978,12.976132254933578,1,2,3,1,8,0,2,431978,115.0
490376,13.10292976201488,1,2,1,5,6,4,4,490376,139.0
496590,13.115522028653958,1,0,0,3,0,1,1,496590,126.0
286416,12.565204069848939,1,0,1,4,6,1,0,286416,100.0
358438,12.789513771127062,1,1,3,3,8,1,4,358438,101.0
138888,11.841430331941945,1,0,3,1,8,3,1,138888,76.0
300232,12.612314118855522,1,1,2,2,2,4,3,300232,78.0
167039,12.02598858367641,0,2,4,5,9,3,2,167039,85.0
35376,10.47381717044985,1,0,1,5,6,0,2,35376,49.0
337457,12.729196337106425,0,2,2,1,7,0,2,337457,83.0
221082,12.306293475603638,1,0,2,1,2,1,2,221082,124.0
277600,12.533940109913773,1,1,0,1,0,3,4,277600,82.0
284296,12.55777474534986,1,1,1,5,6,1,2,284296,80.0
134775,11.81136942006604,0,0,0,4,5,4,2,134775,75.0
52098,10.860901033699289,1,0,3,4,8,4,4,52098,72.0
361510,12.79804774888703,1,1,0,2,0,3,0,361510,74.0
269354,12.503785491144107,1,2,4,1,4,4,1,269354,67.0
369696,12.820439030204215,1,0,1,5,6,4,4,369696,83.0
386868,12.865841413415435,1,0,3,6,8,0,2,386868,125.0
194135,12.176314223365898,0,2,0,4,5,1,4,194135,115.0
329633,12.705738227037113,0,2,3,3,3,3,4,329633,81.0
221231,12.3069672036284,0,2,1,3,1,2,4,221231,80.0
289662,12.576473457271454,1,0,2,2,2,1,0,289662,106.0
148967,11.911486796761599,0,2,2,0,7,2,1,148967,80.0
322042,12.682440355983495,1,1,2,0,2,3,3,322042,117.0
40145,10.600278088010873,0,2,0,0,5,3,4,40145,73.0
474629,13.070290832111219,0,2,4,1,9,2,4,474629,118.0
135965,11.820160133462979,0,2,0,4,5,4,0,135965,63.0
92704,11.437177687531953,1,1,4,3,4,3,3,92704,74.0
120267,11.697477864915543,0,0,2,0,7,0,4,120267,103.0
114644,11.649595676345093,1,2,4,5,4,0,0,114644,125.0
205016,12.230848181511574,1,2,1,0,6,1,1,205016,73.0
126577,11.748613997920065,0,1,2,3,7,4,3,126577,114.0
69523,11.14942729568337,0,1,3,6,3,1,0,69523,75.0
95600,11.467938559235831,1,2,0,1,0,0,1,95600,97.0
473169,13.0672100109363,0,0,4,4,9,4,1,473169,106.0
117758,11.676395442078821,1,2,3,4,8,3,0,117758,114.0
107604,11.586222394031685,1,0,4,0,4,1,4,107604,73.0
157558,11.967555270276176,1,1,3,2,8,0,0,157558,100.0
458299,13.035279270497215,0,1,4,2,9,0,2,458299,146.0
417323,12.941618177506736,0,2,3,4,3,3,1,417323,111.0
355297,12.780712152947398,0,1,2,5,7,3,2,355297,118.0
182006,12.111800426857767,1,2,1,6,6,1,2,182006,101.0
54497,10.905919282730268,0,2,2,2,7,2,0,54497,77.0
86545,11.36843134347628,0,1,0,4,5,4,0,86545,61.0
72246,11.187846082621247,1,0,1,6,6,1,0,72246,68.0
280473,12.544236308026651,0,0,3,4,3,1,0,280473,82.0
343913,12.748146905100326,0,2,3,3,3,3,0,343913,123.0
93082,11.441246847236334,1,1,2,3,2,4,3,93082,96.0
434109,12.981053237189139,0,0,4,4,9,3,0,434109,135.0
64131,11.068698738308727,0,0,1,4,1,4,2,64131,91.0
401043,12.901826425955068,0,0,3,6,3,4,4,401043,99.0
340169,12.737200771633995,0,2,4,4,9,2,0,340169,83.0
305266,12.628942082477899,1,1,1,3,6,3,1,305266,81.0
492513,13.107278165586198,0,0,3,0,3,1,3,492513,111.0
303935,12.624572431908794,0,2,0,2,5,1,0,303935,89.0
184780,12.1269266190512,1,1,0,1,0,4,3,184780,93.0
121677,11.709133490243195,0,0,2,3,7,1,4,121677,107.0
68185,11.129994544166644,0,1,0,5,5,1,3,68185,56.0
205794,12.234635806654488,1,0,4,1,4,0,3,205794,91.0
357539,12.787002522969079,0,2,4,0,9,1,2,357539,106.0
54669,10.909070391889045,0,0,4,6,9,3,2,54669,80.0
108538,11.594864834381662,1,1,3,3,8,4,1,108538,109.0
164709,12.011941630776722,0,0,4,6,9,1,3,164709,70.0
392516,12.88033512736857,1,2,1,5,6,1,1,392516,136.0
291895,12.584152853425259,0,1,0,2,5,1,3,291895,89.0
266883,12.494569386049792,0,0,3,1,3,1,3,266883,53.0
77958,11.263938326448413,1,0,3,6,8,2,2,77958,57.0
388383,12.869749819906088,0,0,3,2,3,2,0,388383,128.0
357982,12.788240778221821,1,1,2,2,2,3,4,357982,120.0
240481,12.39040052165215,0,1,1,3,1,3,3,240481,110.0
471509,13.063695589738485,0,2,4,3,9,1,1,471509,114.0
498430,13.119220443558019,1,1,0,2,0,0,1,498430,140.0
205835,12.234835014197825,0,2,0,0,5,2,1,205835,67.0
329367,12.704930945680012,0,0,2,3,7,3,2,329367,76.0
143723,11.875650072735507,0,2,3,6,3,3,2,143723,74.0
433269,12.979116369235987,0,0,4,4,9,4,1,433269,111.0
448206,13.01301045825467,1,0,1,3,6,0,1,448206,126.0
311921,12.65050843553641,0,2,1,1,1,3,1,311921,79.0
77331,11.255863120452393,0,0,1,2,1,3,0,77331,72.0
434925,12.982931180657104,0,0,0,1,5,3,1,434925,106.0
85934,11.361346475510787,1,2,4,2,4,2,4,85934,97.0
228331,12.338555989143146,0,1,1,5,1,1,0,228331,136.0
11808,9.376617231601282,1,0,3,6,8,1,0,11808,53.0
303544,12.623285148671972,1,1,4,3,4,2,0,303544,81.0
145806,11.890039108378142,1,0,1,3,6,2,2,145806,83.0
486444,13.09487912180208,1,0,4,0,4,0,3,486444,119.0
33523,10.420016879218796,0,1,3,0,3,3,0,33523,55.0
198061,12.196335391974426,0,1,1,3,1,1,0,198061,77.0
88905,11.395334910788097,0,0,0,5,5,4,1,88905,88.0
482745,13.087245914394185,0,0,0,4,5,3,1,482745,138.0
99261,11.505518098041806,0,0,1,1,1,2,4,99261,79.0
429139,12.969538484999072,0,1,4,4,9,0,3,429139,91.0
89745,11.404738737112206,0,0,0,5,5,3,4,89745,92.0
358929,12.790882662385737,0,0,4,4,9,2,2,358929,106.0
183349,12.119152173499472,0,1,4,5,9,4,4,183349,87.0
182915,12.116782310049842,0,2,0,5,5,4,1,182915,82.0
438843,12.991899275829272,0,0,3,6,3,1,0,438843,108.0
69262,11.145666132063102,1,1,2,4,2,2,2,69262,67.0
137498,11.831371923335045,1,2,3,4,8,3,1,137498,63.0
384399,12.859438956078275,0,0,4,1,9,0,4,384399,130.0
209704,12.253457060191833,1,1,4,5,4,0,1,209704,91.0
312858,12.653507888792811,1,0,3,0,8,2,2,312858,82.0
493644,13.109571914354653,1,0,4,4,4,0,1,493644,96.0
147000,11.898194668458823,1,0,0,0,0,3,0,147000,93.0
254030,12.44521158579761,1,2,0,0,0,4,4,254030,96.0
476256,13.07371290347776,1,0,1,4,6,3,1,476256,93.0
269131,12.502957244546705,0,1,1,2,1,2,2,269131,77.0
70801,11.167642527870399,0,1,1,3,1,0,1,70801,55.0
58363,10.974454540383913,0,1,3,4,3,1,3,58363,97.0
13500,9.510519035757246,1,0,0,4,0,2,2,13500,64.0
498288,13.118935508970651,1,0,3,0,8,4,1,498288,123.0
121176,11.705007565632043,1,0,1,6,6,2,4,121176,98.0
170067,12.043953636053725,0,0,2,2,7,1,4,170067,74.0
175120,12.073232442550472,1,1,0,1,0,4,3,175120,76.0
454479,13.02690918723101,0,0,4,4,9,3,2,454479,141.0
63766,11.062991094138104,1,1,1,3,6,0,3,63766,89.0
364183,12.805414513405063,0,1,3,1,3,1,1,364183,104.0
325982,12.694600511749867,1,2,2,6,2,3,1,325982,119.0
234362,12.364626474396047,1,2,2,2,2,3,0,234362,107.0
88001,11.38511482047481,0,2,1,4,1,2,1,88001,91.0
448074,13.012715908099798,1,0,4,4,4,2,4,448074,115.0
54800,10.911463720944793,1,2,0,4,0,4,4,54800,70.0
330381,12.708004839726016,0,0,1,2,1,1,4,330381,74.0
362923,12.8019487249356,0,1,3,1,3,4,4,362923,94.0
252386,12.438718902775987,1,2,1,1,6,3,2,252386,123.0
163182,12.002627549419753,1,0,2,5,2,3,0,163182,114.0
27035,10.204924590220244,0,2,0,1,5,1,1,27035,70.0
124761,11.734163201372343,0,0,1,0,1,0,2,124761,109.0
43952,10.690876160169422,1,2,2,6,2,0,2,43952,80.0
369331,12.819451247506437,0,1,1,4,1,1,3,369331,98.0
378958,12.845183298793224,1,1,3,6,8,4,4,378958,95.0
171823,12.054225976097998,0,1,3,1,3,4,2,171823,105.0
385392,12.862018871849868,1,0,2,0,2,3,3,385392,108.0
332573,12.714617670707023,0,2,3,3,3,2,1,332573,81.0
133325,11.800552535909453,0,2,0,3,5,2,0,133325,53.0
230224,12.346812370589568,1,1,4,1,4,3,1,230224,82.0
457171,13.032814966682697,0,1,1,1,1,1,3,457171,139.0
91171,11.420503111379029,0,1,1,3,1,4,0,91171,66.0
349482,12.7642101985574,1,0,2,0,2,1,0,349482,96.0
228762,12.340441812124062,1,0,2,2,2,1,3,228762,128.0
437071,12.987853220231734,0,1,1,5,1,0,1,437071,115.0
3122,8.046549357283078,1,2,2,0,2,1,4,3122,36.0
270622,12.508481987411352,1,1,2,2,2,2,3,270622,56.0
359824,12.793373081130872,1,1,4,3,4,2,2,359824,123.0
40133,10.599979134346462,0,2,3,2,3,0,4,40133,71.0
219966,12.301232814083374,1,0,1,5,6,4,1,219966,114.0
139948,11.849033349508996,1,1,3,4,8,2,3,139948,63.0
87439,11.378708122850421,0,1,4,2,9,3,2,87439,83.0
55115,10.917195334113794,0,2,0,4,5,2,4,55115,88.0
142474,11.8669218247032,1,1,4,3,4,3,0,142474,69.0
371616,12.82561903299166,1,0,1,0,6,3,0,371616,111.0
191690,12.16363997957482,1,2,0,2,0,0,3,191690,107.0
181172,12.10720765486591,1,2,2,5,2,1,4,181172,90.0
291675,12.583398876159652,0,0,0,6,5,2,0,291675,99.0
148176,11.906162784118516,1,0,1,0,6,2,1,148176,63.0
376398,12.838405029941692,1,0,3,1,8,0,4,376398,128.0
13858,9.536690120068803,1,1,3,5,8,1,4,13858,56.0
158724,11.974928424038652,1,0,4,6,4,4,3,158724,73.0
252894,12.440729661802274,1,0,4,5,4,4,2,252894,139.0
406435,12.915181754000361,0,1,0,1,5,3,3,406435,100.0
267045,12.495176207187287,0,0,0,2,5,2,3,267045,61.0
233924,12.362755830144113,1,2,4,5,4,4,4,233924,91.0
222049,12.310657860720248,0,1,4,2,9,2,2,222049,97.0
387475,12.867409190373586,0,1,0,4,5,1,2,387475,118.0
87321,11.377357714661773,0,0,1,3,1,4,2,87321,75.0
280341,12.543765565385794,0,0,1,5,1,4,4,280341,73.0
241071,12.39285092304107,0,0,1,5,1,2,2,241071,121.0
11589,9.357897936333798,0,0,4,4,9,4,0,11589,57.0
119935,11.69471354615804,0,1,0,4,5,1,0,119935,100.0
117453,11.673802046552682,0,0,3,0,3,3,4,117453,93.0
484998,13.091902108061824,1,0,3,3,8,3,3,484998,117.0
119775,11.693378610704155,0,0,0,5,5,0,4,119775,110.0
317961,12.66968715776665,0,0,1,0,1,2,2,317961,90.0
371969,12.826568484841998,0,2,4,3,9,1,2,371969,99.0
486205,13.094387681388591,0,1,0,6,5,1,4,486205,133.0
283426,12.554709873401434,1,1,1,3,6,3,3,283426,74.0
492699,13.107655748532055,0,0,4,4,9,4,2,492699,101.0
175506,12.075434207132517,1,0,1,2,6,1,0,175506,95.0
212383,12.266151235945651,0,1,3,3,3,1,2,212383,117.0
423764,12.956934335280383,1,2,4,5,4,3,3,423764,124.0
330742,12.709096917732078,1,1,2,6,2,1,2,330742,98.0
34991,10.462874742916549,0,2,1,5,1,0,3,34991,52.0
288264,12.571635474938686,1,0,4,4,4,3,3,288264,73.0
10650,9.273409063443166,1,0,0,3,0,2,1,10650,54.0
41679,10.637776676427249,0,0,4,1,9,4,2,41679,65.0
23631,10.07035700477116,0,0,1,6,1,4,3,23631,68.0
280930,12.545864366561728,1,1,0,6,0,1,1,280930,70.0
254385,12.446608077487278,0,0,0,5,5,3,1,254385,109.0
114269,11.646319348140759,0,2,4,1,9,1,0,114269,113.0
361351,12.797607831495865,0,1,1,4,1,0,3,361351,85.0
403687,12.908397581355885,0,1,2,4,7,1,1,403687,90.0
99500,11.507922973347437,1,2,0,2,0,3,4,99500,65.0
17006,9.741380302992413,1,2,1,3,6,0,1,17006,47.0
201804,12.215057163601639,1,0,4,1,4,4,1,201804,73.0
258846,12.463992432539108,1,0,1,0,6,0,3,258846,126.0
468590,13.057485598725425,1,2,0,3,0,3,4,468590,111.0
53928,10.895423645604193,1,0,3,0,8,2,4,53928,72.0
319233,12.67367965517606,0,0,3,5,3,4,1,319233,106.0
358269,12.78904217106865,0,0,4,2,9,2,1,358269,134.0
472292,13.065354834686083,1,2,2,2,2,1,4,472292,116.0
379998,12.847923900120158,1,0,3,3,8,1,1,379998,111.0
357762,12.787626034983498,1,0,2,6,2,0,4,357762,108.0
392012,12.879050281488016,1,2,2,5,2,4,4,392012,139.0
444842,13.00547668990788,1,2,2,6,2,1,2,444842,109.0
165030,12.013888614023587,1,0,0,5,0,3,3,165030,64.0
300010,12.611574419632799,1,1,0,4,0,1,2,300010,94.0
114670,11.64982243767105,1,1,0,3,0,1,2,114670,132.0
296221,12.598864452196743,0,1,1,2,1,1,1,296221,68.0
286996,12.567227041725452,1,1,1,3,6,1,4,286996,65.0
247799,12.420377248177179,0,2,4,6,9,0,3,247799,128.0
225765,12.3272543436293,0,0,0,1,5,2,3,225765,111.0
210530,12.257388189670197,1,2,0,5,0,3,1,210530,98.0
473401,13.067700200810172,0,1,1,5,1,3,4,473401,118.0
408081,12.919223413584602,0,0,1,2,1,2,0,408081,92.0
469445,13.05930855504117,0,2,0,4,5,2,2,469445,108.0
325736,12.693845586285915,1,2,1,5,6,0,2,325736,106.0
348710,12.761998777907511,1,2,0,5,0,3,1,348710,85.0
458815,13.036404537212544,0,1,0,0,5,1,0,458815,75.0
322133,12.682722887028861,0,2,3,0,3,4,1,322133,102.0
61074,11.019857896125941,1,0,4,6,4,1,3,61074,93.0
385803,12.863084747466374,0,0,3,5,3,2,2,385803,107.0
497749,13.117853221926442,0,1,4,0,9,0,4,497749,111.0
423534,12.956391434287466,1,0,4,6,4,2,4,423534,122.0
135956,11.820093938253283,1,2,1,2,6,4,4,135956,58.0
426703,12.963845843399788,0,1,3,4,3,0,0,426703,88.0
442808,13.000893804813316,1,2,3,2,8,1,2,442808,100.0
166889,12.025090191737448,0,2,4,2,9,3,2,166889,91.0
289641,12.576400956602518,0,0,1,2,1,3,4,289641,97.0
86842,11.37185716968755,1,1,2,0,2,0,4,86842,81.0
102725,11.539820528432873,0,2,0,0,5,2,2,102725,66.0
15251,9.632465920977454,0,2,1,5,1,3,4,15251,74.0
467257,13.054636846626563,0,1,2,0,7,4,3,467257,93.0
151191,11.926305831274874,0,0,1,5,1,1,2,151191,85.0
66721,11.108290012602541,0,1,1,4,1,1,4,66721,43.0
362025,12.799471311433166,0,0,0,6,5,4,4,362025,84.0
37445,10.530655174162098,0,2,0,2,5,0,3,37445,50.0
471095,13.062817173885794,0,2,0,2,5,3,1,471095,98.0
373147,12.82973040277028,0,1,2,5,7,2,4,373147,108.0
344264,12.749166988626376,1,2,4,4,4,0,1,344264,70.0
401387,12.902683819531282,0,2,2,0,7,2,2,401387,120.0
151523,11.92849930722668,0,2,3,1,3,4,1,151523,99.0
434213,12.981292779112424,0,2,3,3,3,3,2,434213,77.0
413389,12.932146736290399,0,1,4,4,9,4,0,413389,108.0
263036,12.480049985675425,1,2,1,4,6,1,4,263036,63.0
166288,12.021482517473164,1,1,3,3,8,3,3,166288,68.0
421112,12.950656485200456,1,2,2,6,2,4,1,421112,119.0
117934,11.677888904217976,1,1,4,5,4,0,1,117934,94.0
188422,12.146444714352565,1,1,2,3,2,2,3,188422,68.0
301783,12.617466808668645,0,1,3,6,3,2,1,301783,96.0
401502,12.902970284321112,1,0,2,3,2,2,1,401502,72.0
432728,12.977866944997904,1,2,3,2,8,0,4,432728,104.0
444296,13.00424853670674,1,2,1,6,6,4,1,444296,110.0
351667,12.770442827686201,0,1,2,1,7,0,0,351667,118.0
254405,12.446686695075645,0,2,0,4,5,4,3,254405,108.0
29209,10.282266395381786,0,1,4,5,9,3,3,29209,62.0
136964,11.827480697718551,1,2,4,2,4,4,2,136964,64.0
79675,11.285723690195164,0,1,0,1,5,0,1,79675,92.0
116925,11.669296535048428,0,0,0,4,5,0,3,116925,87.0
32577,10.39139249291755,0,0,2,6,7,4,0,32577,92.0
318313,12.670793595966142,0,1,3,2,3,0,4,318313,112.0
499869,13.12210334359847,0,0,4,6,9,3,4,499869,105.0
180085,12.101189793550665,0,1,0,3,5,0,4,180085,125.0
336369,12.725967023556041,0,0,4,5,9,2,0,336369,86.0
243174,12.401536627737642,1,0,4,1,4,3,0,243174,124.0
424749,12.959256039534178,0,0,4,3,9,1,2,424749,124.0
314617,12.65911448348133,0,1,2,2,7,3,2,314617,104.0
184929,12.127732654078923,0,0,4,3,9,2,0,184929,86.0
429432,12.970221012894486,1,0,2,3,2,1,3,429432,107.0
483349,13.088496307892752,0,1,4,6,9,0,3,483349,92.0
51760,10.854392248926331,1,1,0,2,0,0,4,51760,64.0
481642,13.084958454705301,1,1,2,0,2,4,3,481642,122.0
263407,12.481459439887804,0,1,2,4,7,2,3,263407,61.0
363786,12.80432381050795,1,0,1,3,6,4,1,363786,90.0
50303,10.825839875788878,0,2,3,1,3,1,1,50303,70.0
402220,12.904756967787085,1,1,0,0,0,3,0,402220,83.0
271373,12.511253222235986,0,2,3,4,3,2,2,271373,52.0
151740,11.929930399090464,1,0,0,1,0,0,0,151740,72.0
164004,12.00765219414647,1,0,4,1,4,1,1,164004,51.0
33508,10.419569338447822,1,1,3,6,8,4,0,33508,50.0
236977,12.375722588804356,0,1,2,6,7,4,4,236977,116.0
403164,12.90710118641592,1,0,4,6,4,0,0,403164,99.0
192793,12.169377540342385,0,1,3,6,3,1,0,192793,95.0
494863,13.112038256326079,0,1,3,5,3,3,1,494863,112.0
18638,9.833011438731804,1,2,3,4,8,1,3,18638,51.0
115307,11.655362088065267,0,2,2,3,7,4,2,115307,78.0
73739,11.208300671788136,0,2,4,1,9,4,2,73739,38.0
255750,12.451959593874655,1,0,0,5,0,0,4,255750,115.0
20489,9.927692241232945,0,2,4,0,9,0,3,20489,33.0
46748,10.752548144113725,1,2,3,2,8,4,3,46748,84.0
493990,13.110272577380616,1,1,0,0,0,0,0,493990,110.0
38457,10.557322015710533,0,0,2,6,7,3,2,38457,66.0
295646,12.59692145406406,1,2,1,1,6,0,0,295646,74.0
290190,12.578294605856891,1,0,0,5,0,2,2,290190,97.0
479952,13.081443461423257,1,0,2,4,2,0,1,479952,112.0
40317,10.604553298340369,0,0,2,4,7,4,4,40317,87.0
74828,11.222960789360895,1,2,3,5,8,2,4,74828,56.0
191788,12.164151088379104,1,1,3,2,8,1,1,191788,108.0
153107,11.938898833709743,0,2,2,3,7,1,2,153107,75.0
265169,12.488126408723103,0,2,4,2,9,1,4,265169,71.0
492845,13.107952031000996,0,2,0,3,5,1,4,492845,104.0
123370,11.722951354730965,1,1,0,2,0,3,4,123370,98.0
129428,11.770887747222599,1,2,3,5,8,0,3,129428,112.0
125004,11.736109015484459,1,0,4,5,4,3,3,125004,88.0
134986,11.812933756487483,1,1,1,5,6,0,0,134986,73.0
433760,12.980248970152187,1,2,0,5,0,4,3,433760,112.0
361892,12.799103867005,1,2,2,6,2,0,2,361892,89.0
206852,12.239763675047621,1,2,2,2,2,0,0,206852,64.0
211565,12.262292285526481,0,2,0,4,5,0,0,211565,105.0
348981,12.762775623923249,0,0,1,3,1,0,2,348981,98.0
167091,12.026299837913777,0,0,1,1,1,1,1,167091,79.0
61824,11.032063092389617,1,0,4,0,4,1,0,61824,75.0
249595,12.427598889707973,0,1,0,3,5,4,2,249595,132.0
75234,11.228371827192978,1,0,4,5,4,1,0,75234,74.0
16545,9.713899659750128,0,0,0,4,5,4,4,16545,30.0
389250,12.871979658735976,1,0,0,1,0,3,3,389250,104.0
127155,11.753169958097134,0,0,0,0,5,1,3,127155,97.0
340520,12.73823207667875,1,2,0,5,0,4,3,340520,83.0
607,6.410174881966167,0,1,2,5,7,3,0,607,32.0
448698,13.014107563301016,1,0,3,5,8,1,1,448698,118.0
184064,12.123044235078758,1,2,4,6,4,3,2,184064,91.0
245423,12.41074260598789,0,2,3,3,3,0,4,245423,135.0
153770,11.943219761707686,1,2,0,1,0,1,1,153770,78.0
185441,12.13049744367504,0,2,1,4,1,3,1,185441,87.0
275363,12.525849137777977,0,2,3,4,3,0,4,275363,82.0
71966,11.183962959598032,1,2,1,6,6,2,2,71966,65.0
42574,10.659022505530888,1,1,4,0,4,4,0,42574,67.0
38361,10.554822665281634,0,0,1,1,1,2,2,38361,74.0
