slot_n_big,slot_n_big_abs_log1p,slot_n_big_is_even,slot_n_big_mod3,slot_n_big_mod5,slot_n_big_mod7,slot_n_big_mod10,slot_R_big,slot_R_big_abs_log1p,slot_R_big_is_even,slot_R_big_mod3,slot_R_big_mod5,slot_R_big_mod7,slot_R_big_mod10,slot_N_small,slot_N_small_abs_log1p,slot_N_small_is_even,slot_N_small_mod3,slot_N_small_mod5,slot_N_small_mod7,slot_N_small_mod10,slot_r_small,slot_r_small_abs_log1p,slot_r_small_is_even,slot_r_small_mod3,slot_r_small_mod5,slot_r_small_mod7,slot_r_small_mod10,gcd_all,n_multiple_pairs,y
10,2.3978952727983707,1,1,0,3,0,44,3.8066624897703196,1,2,4,2,4,346,5.849324779946859,1,1,1,3,6,26,3.295836866004329,1,2,1,5,6,2,0,65493.0
11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,0,1,6,6,348,5.855071922202427,1,0,3,5,8,2,1.0986122886681098,1,2,2,2,2,1,3,2339.0
10,2.3978952727983707,1,1,0,3,0,39,3.6888794541139363,0,0,4,4,9,168,5.1298987149230735,1,0,3,0,8,35,3.58351893845611,0,2,0,0,5,1,0,110582.0
9,2.302585092994046,0,0,4,2,9,33,3.5263605246161616,0,0,3,5,3,66,4.204692619390966,1,0,1,3,6,27,3.332204510175204,0,0,2,6,7,3,2,17426.0
9,2.302585092994046,0,0,4,2,9,53,3.9889840465642745,0,2,3,4,3,175,5.170483995038151,0,1,0,0,5,25,3.258096538021482,0,1,0,4,5,1,1,111938.0
11,2.4849066497880004,0,2,1,4,1,39,3.6888794541139363,0,0,4,4,9,290,5.673323267171493,1,2,0,3,0,34,3.5553480614894135,1,1,4,6,4,1,0,189695.0
8,2.1972245773362196,1,2,3,1,8,40,3.713572066704308,1,1,0,5,0,253,5.537334267018537,0,1,3,1,3,19,2.995732273553991,0,1,4,5,9,1,1,973.0
10,2.3978952727983707,1,1,0,3,0,27,3.332204510175204,0,0,2,6,7,287,5.662960480135946,0,2,2,0,7,11,2.4849066497880004,0,2,1,4,1,1,0,85172.0
12,2.5649493574615367,1,0,2,5,2,15,2.772588722239781,0,0,0,1,5,348,5.855071922202427,1,0,3,5,8,6,1.9459101490553132,1,0,1,6,6,3,3,1191.0
3,1.3862943611198906,0,0,3,3,3,44,3.8066624897703196,1,2,4,2,4,400,5.993961427306569,1,1,0,1,0,34,3.5553480614894135,1,1,4,6,4,1,0,303695.0
5,1.791759469228055,0,2,0,5,5,36,3.6109179126442243,1,0,1,1,6,212,5.3612921657094255,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,1,1,7651.0
5,1.791759469228055,0,2,0,5,5,18,2.9444389791664403,1,0,3,4,8,313,5.749392985908253,0,1,3,5,3,11,2.4849066497880004,0,2,1,4,1,1,0,383.0
9,2.302585092994046,0,0,4,2,9,39,3.6888794541139363,0,0,4,4,9,517,6.249975242259483,0,1,2,6,7,14,2.70805020110221,1,2,4,0,4,1,0,11845.0
8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,360,5.8888779583328805,1,0,0,3,0,4,1.6094379124341003,1,1,4,4,4,1,4,8441.0
5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,292,5.680172609017068,1,1,2,5,2,1,0.6931471805599453,0,1,1,1,1,1,3,365.0
6,1.9459101490553132,1,0,1,6,6,29,3.4011973816621555,0,2,4,1,9,118,4.77912349311153,1,1,3,6,8,25,3.258096538021482,0,1,0,4,5,1,0,4199.0
8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,400,5.993961427306569,1,1,0,1,0,12,2.5649493574615367,1,0,2,5,2,2,1,709.0
7,2.0794415416798357,0,1,2,0,7,53,3.9889840465642745,0,2,3,4,3,257,5.552959584921617,0,2,2,5,7,51,3.9512437185814275,0,0,1,2,1,1,0,114748.0
9,2.302585092994046,0,0,4,2,9,34,3.5553480614894135,1,1,4,6,4,233,5.455321115357702,0,2,3,2,3,2,1.0986122886681098,1,2,2,2,2,1,1,241.0
10,2.3978952727983707,1,1,0,3,0,19,2.995732273553991,0,1,4,5,9,241,5.488937726156687,0,1,1,3,1,10,2.3978952727983707,1,1,0,3,0,1,1,15373.0
11,2.4849066497880004,0,2,1,4,1,25,3.258096538021482,0,1,0,4,5,478,6.171700597410915,1,1,3,2,8,2,1.0986122886681098,1,2,2,2,2,1,1,12027.0
10,2.3978952727983707,1,1,0,3,0,29,3.4011973816621555,0,2,4,1,9,25,3.258096538021482,0,1,0,4,5,14,2.70805020110221,1,2,4,0,4,1,0,411.0
3,1.3862943611198906,0,0,3,3,3,39,3.6888794541139363,0,0,4,4,9,56,4.04305126783455,1,2,1,0,6,33,3.5263605246161616,0,0,3,5,3,1,2,7772.0
3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,0,4,5,453,6.118097198041348,0,0,3,5,3,6,1.9459101490553132,1,0,1,6,6,1,2,35081.0
9,2.302585092994046,0,0,4,2,9,51,3.9512437185814275,0,0,1,2,1,142,4.962844630259907,1,1,2,2,2,35,3.58351893845611,0,2,0,0,5,1,0,80644.0
11,2.4849066497880004,0,2,1,4,1,28,3.367295829986474,1,1,3,0,8,207,5.337538079701318,0,0,2,4,7,13,2.6390573296152584,0,1,3,6,3,1,0,36871.0
8,2.1972245773362196,1,2,3,1,8,47,3.871201010907891,0,2,2,5,7,298,5.700443573390687,1,1,3,4,8,6,1.9459101490553132,1,0,1,6,6,1,0,83233.0
10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,396,5.983936280687191,1,0,1,4,6,6,1.9459101490553132,1,0,1,6,6,2,1,3471.0
10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,364,5.8998973535824915,1,1,4,0,4,8,2.1972245773362196,1,2,3,1,8,2,1,5189.0
7,2.0794415416798357,0,1,2,0,7,60,4.110873864173311,1,0,0,4,0,93,4.543294782270004,0,0,3,2,3,32,3.4965075614664802,1,2,2,4,2,1,0,20963.0
4,1.6094379124341003,1,1,4,4,4,13,2.6390573296152584,0,1,3,6,3,178,5.187385805840755,1,1,3,3,8,8,2.1972245773362196,1,2,3,1,8,1,1,6491.0
10,2.3978952727983707,1,1,0,3,0,24,3.2188758248682006,1,0,4,3,4,452,6.115892125483034,1,2,2,4,2,2,1.0986122886681098,1,2,2,2,2,2,3,10951.0
7,2.0794415416798357,0,1,2,0,7,49,3.912023005428146,0,1,4,0,9,218,5.389071729816501,1,2,3,1,8,14,2.70805020110221,1,2,4,0,4,1,2,215.0
10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,379,5.940171252720432,0,1,4,1,9,4,1.6094379124341003,1,1,4,4,4,1,0,191.0
9,2.302585092994046,0,0,4,2,9,21,3.091042453358316,0,0,1,0,1,448,6.1070228877422545,1,1,3,0,8,15,2.772588722239781,0,0,0,1,5,1,0,48274.0
8,2.1972245773362196,1,2,3,1,8,13,2.6390573296152584,0,1,3,6,3,344,5.84354441703136,1,2,4,1,4,2,1.0986122886681098,1,2,2,2,2,1,3,1333.0
8,2.1972245773362196,1,2,3,1,8,22,3.1354942159291497,1,1,2,1,2,177,5.181783550292085,0,0,2,2,7,2,1.0986122886681098,1,2,2,2,2,1,2,347.0
7,2.0794415416798357,0,1,2,0,7,44,3.8066624897703196,1,2,4,2,4,431,6.068425588244111,0,2,1,4,1,13,2.6390573296152584,0,1,3,6,3,1,0,123927.0
9,2.302585092994046,0,0,4,2,9,50,3.9318256327243257,1,2,0,1,0,39,3.6888794541139363,0,0,4,4,9,49,3.912023005428146,0,1,4,0,9,1,0,37481.0
3,1.3862943611198906,0,0,3,3,3,24,3.2188758248682006,1,0,4,3,4,38,3.6635616461296463,1,2,3,3,8,10,2.3978952727983707,1,1,0,3,0,1,1,623.0
7,2.0794415416798357,0,1,2,0,7,37,3.6375861597263857,0,1,2,2,7,172,5.153291594497779,1,1,2,4,2,19,2.995732273553991,0,1,4,5,9,1,0,39674.0
11,2.4849066497880004,0,2,1,4,1,53,3.9889840465642745,0,2,3,4,3,426,6.056784013228625,1,0,1,6,6,33,3.5263605246161616,0,0,3,5,3,1,1,147866.0
8,2.1972245773362196,1,2,3,1,8,33,3.5263605246161616,0,0,3,5,3,356,5.877735781779639,1,2,1,6,6,26,3.295836866004329,1,2,1,5,6,1,0,307583.0
4,1.6094379124341003,1,1,4,4,4,33,3.5263605246161616,0,0,3,5,3,139,4.941642422609304,0,1,4,6,9,1,0.6931471805599453,0,1,1,1,1,1,3,1498.0
5,1.791759469228055,0,2,0,5,5,42,3.7612001156935624,1,0,2,0,2,238,5.476463551931511,1,1,3,0,8,27,3.332204510175204,0,0,2,6,7,1,0,90151.0
5,1.791759469228055,0,2,0,5,5,24,3.2188758248682006,1,0,4,3,4,497,6.210600077024653,0,2,2,0,7,11,2.4849066497880004,0,2,1,4,1,1,0,8453.0
7,2.0794415416798357,0,1,2,0,7,54,4.007333185232471,1,0,4,5,4,106,4.672828834461906,1,1,1,1,6,13,2.6390573296152584,0,1,3,6,3,1,0,23513.0
3,1.3862943611198906,0,0,3,3,3,51,3.9512437185814275,0,0,1,2,1,107,4.68213122712422,0,2,2,2,7,3,1.3862943611198906,0,0,3,3,3,1,3,224.0
4,1.6094379124341003,1,1,4,4,4,18,2.9444389791664403,1,0,3,4,8,302,5.713732805509369,1,2,2,1,2,12,2.5649493574615367,1,0,2,5,2,2,1,11321.0
4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,0,1,5,93,4.543294782270004,0,0,3,2,3,14,2.70805020110221,1,2,4,0,4,1,0,19933.0
11,2.4849066497880004,0,2,1,4,1,27,3.332204510175204,0,0,2,6,7,415,6.030685260261263,0,1,0,2,5,12,2.5649493574615367,1,0,2,5,2,1,0,837.0
5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,414,6.028278520230698,1,0,4,1,4,9,2.302585092994046,0,0,4,2,9,1,2,40487.0
12,2.5649493574615367,1,0,2,5,2,31,3.4657359027997265,0,1,1,3,1,61,4.127134385045092,0,1,1,5,1,22,3.1354942159291497,1,1,2,1,2,1,0,3127.0
4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,64,4.174387269895637,1,1,4,1,4,2,1.0986122886681098,1,2,2,2,2,2,6,177.0
6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,172,5.153291594497779,1,1,2,4,2,3,1.3862943611198906,0,0,3,3,3,1,1,5443.0
3,1.3862943611198906,0,0,3,3,3,42,3.7612001156935624,1,0,2,0,2,514,6.244166900663736,1,1,4,3,4,6,1.9459101490553132,1,0,1,6,6,1,3,21961.0
7,2.0794415416798357,0,1,2,0,7,14,2.70805020110221,1,2,4,0,4,197,5.288267030694535,0,2,2,1,7,6,1.9459101490553132,1,0,1,6,6,1,1,203.0
5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,0,1,5,482,6.180016653652572,1,2,2,6,2,5,1.791759469228055,0,2,0,5,5,1,3,7624.0
4,1.6094379124341003,1,1,4,4,4,49,3.912023005428146,0,1,4,0,9,219,5.393627546352362,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,1,21359.0
9,2.302585092994046,0,0,4,2,9,28,3.367295829986474,1,1,3,0,8,209,5.3471075307174685,0,2,4,6,9,6,1.9459101490553132,1,0,1,6,6,1,0,541.0
7,2.0794415416798357,0,1,2,0,7,44,3.8066624897703196,1,2,4,2,4,38,3.6635616461296463,1,2,3,3,8,25,3.258096538021482,0,1,0,4,5,1,0,34761.0
3,1.3862943611198906,0,0,3,3,3,33,3.5263605246161616,0,0,3,5,3,286,5.659482215759621,1,1,1,6,6,30,3.4339872044851463,1,0,0,2,0,1,2,48109.0
12,2.5649493574615367,1,0,2,5,2,37,3.6375861597263857,0,1,2,2,7,513,6.2422232654551655,0,0,3,2,3,11,2.4849066497880004,0,2,1,4,1,1,0,19012.0
8,2.1972245773362196,1,2,3,1,8,44,3.8066624897703196,1,2,4,2,4,185,5.225746673713202,0,2,0,3,5,39,3.6888794541139363,0,0,4,4,9,1,0,77650.0
3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,0,4,5,94,4.553876891600541,1,1,4,3,4,7,2.0794415416798357,0,1,2,0,7,1,0,16526.0
9,2.302585092994046,0,0,4,2,9,24,3.2188758248682006,1,0,4,3,4,246,5.5093883366279774,1,0,1,1,6,21,3.091042453358316,0,0,1,0,1,3,0,41467.0
9,2.302585092994046,0,0,4,2,9,59,4.0943445622221,0,2,4,3,9,435,6.077642243349034,0,0,0,1,5,17,2.8903717578961645,0,2,2,3,7,1,0,72364.0
5,1.791759469228055,0,2,0,5,5,52,3.970291913552122,1,1,2,3,2,284,5.652489180268651,1,2,4,4,4,47,3.871201010907891,0,2,2,5,7,1,0,694969.0
11,2.4849066497880004,0,2,1,4,1,14,2.70805020110221,1,2,4,0,4,317,5.762051382780177,0,2,2,2,7,7,2.0794415416798357,0,1,2,0,7,1,1,1145.0
7,2.0794415416798357,0,1,2,0,7,52,3.970291913552122,1,1,2,3,2,470,6.154858094016418,1,2,0,1,0,41,3.7376696182833684,0,2,1,6,1,1,0,1006033.0
11,2.4849066497880004,0,2,1,4,1,43,3.784189633918261,0,1,3,1,3,382,5.948034989180646,1,1,2,4,2,33,3.5263605246161616,0,0,3,5,3,1,1,538592.0
9,2.302585092994046,0,0,4,2,9,54,4.007333185232471,1,0,4,5,4,138,4.9344739331306915,1,0,3,5,8,17,2.8903717578961645,0,2,2,3,7,1,1,120319.0
4,1.6094379124341003,1,1,4,4,4,39,3.6888794541139363,0,0,4,4,9,344,5.84354441703136,1,2,4,1,4,38,3.6635616461296463,1,2,3,3,8,1,1,516797.0
7,2.0794415416798357,0,1,2,0,7,47,3.871201010907891,0,2,2,5,7,337,5.823045895483019,0,1,2,1,7,38,3.6635616461296463,1,2,3,3,8,1,0,100311.0
5,1.791759469228055,0,2,0,5,5,48,3.8918202981106265,1,0,3,6,8,462,6.137727054086234,1,0,2,0,2,47,3.871201010907891,0,2,2,5,7,1,0,1052467.0
11,2.4849066497880004,0,2,1,4,1,36,3.6109179126442243,1,0,1,1,6,191,5.2574953720277815,0,2,1,2,1,24,3.2188758248682006,1,0,4,3,4,1,0,1331.0
12,2.5649493574615367,1,0,2,5,2,52,3.970291913552122,1,1,2,3,2,301,5.71042701737487,0,1,1,0,1,21,3.091042453358316,0,0,1,0,1,1,0,80329.0
10,2.3978952727983707,1,1,0,3,0,28,3.367295829986474,1,1,3,0,8,376,5.932245187448011,1,1,1,5,6,7,2.0794415416798357,0,1,2,0,7,1,1,3529.0
5,1.791759469228055,0,2,0,5,5,37,3.6375861597263857,0,1,2,2,7,49,3.912023005428146,0,1,4,0,9,31,3.4657359027997265,0,1,1,3,1,1,0,12952.0
6,1.9459101490553132,1,0,1,6,6,49,3.912023005428146,0,1,4,0,9,73,4.30406509320417,0,1,3,3,3,29,3.4011973816621555,0,2,4,1,9,1,0,97050.0
8,2.1972245773362196,1,2,3,1,8,33,3.5263605246161616,0,0,3,5,3,391,5.971261839790462,0,1,1,6,1,26,3.295836866004329,1,2,1,5,6,1,0,112841.0
11,2.4849066497880004,0,2,1,4,1,30,3.4339872044851463,1,0,0,2,0,140,4.948759890378168,1,2,0,0,0,23,3.1780538303479458,0,2,3,2,3,1,0,91907.0
6,1.9459101490553132,1,0,1,6,6,53,3.9889840465642745,0,2,3,4,3,173,5.159055299214529,0,2,3,5,3,12,2.5649493574615367,1,0,2,5,2,1,1,108011.0
12,2.5649493574615367,1,0,2,5,2,42,3.7612001156935624,1,0,2,0,2,288,5.666426688112432,1,0,3,1,8,32,3.4965075614664802,1,2,2,4,2,2,2,27119.0
4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,0,1,0,432,6.07073772800249,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,1,2,21781.0
7,2.0794415416798357,0,1,2,0,7,28,3.367295829986474,1,1,3,0,8,128,4.859812404361672,1,2,3,2,8,20,3.044522437723423,1,2,0,6,0,1,1,17533.0
10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,389,5.966146739123692,0,2,4,4,9,3,1.3862943611198906,0,0,3,3,3,1,0,849.0
3,1.3862943611198906,0,0,3,3,3,56,4.04305126783455,1,2,1,0,6,298,5.700443573390687,1,1,3,4,8,21,3.091042453358316,0,0,1,0,1,1,1,1441.0
4,1.6094379124341003,1,1,4,4,4,51,3.9512437185814275,0,0,1,2,1,400,5.993961427306569,1,1,0,1,0,20,3.044522437723423,1,2,0,6,0,1,3,137249.0
11,2.4849066497880004,0,2,1,4,1,51,3.9512437185814275,0,0,1,2,1,229,5.438079308923196,0,1,4,5,9,17,2.8903717578961645,0,2,2,3,7,1,1,1886.0
7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,241,5.488937726156687,0,1,1,3,1,7,2.0794415416798357,0,1,2,0,7,1,1,2728.0
9,2.302585092994046,0,0,4,2,9,23,3.1780538303479458,0,2,3,2,3,504,6.22455842927536,1,0,4,0,4,10,2.3978952727983707,1,1,0,3,0,1,1,59348.0
10,2.3978952727983707,1,1,0,3,0,32,3.4965075614664802,1,2,2,4,2,485,6.186208623900494,0,2,0,2,5,21,3.091042453358316,0,0,1,0,1,1,0,27423.0
11,2.4849066497880004,0,2,1,4,1,59,4.0943445622221,0,2,4,3,9,334,5.814130531825066,1,1,4,5,4,19,2.995732273553991,0,1,4,5,9,1,0,367820.0
10,2.3978952727983707,1,1,0,3,0,19,2.995732273553991,0,1,4,5,9,358,5.883322388488279,1,1,3,1,8,7,2.0794415416798357,0,1,2,0,7,1,0,4051.0
4,1.6094379124341003,1,1,4,4,4,35,3.58351893845611,0,2,0,0,5,506,6.2285110035911835,1,2,1,2,6,3,1.3862943611198906,0,0,3,3,3,1,0,1804.0
4,1.6094379124341003,1,1,4,4,4,32,3.4965075614664802,1,2,2,4,2,160,5.081404364984463,1,1,0,6,0,6,1.9459101490553132,1,0,1,6,6,2,3,395.0
4,1.6094379124341003,1,1,4,4,4,34,3.5553480614894135,1,1,4,6,4,54,4.007333185232471,1,0,4,5,4,9,2.302585092994046,0,0,4,2,9,1,1,209.0
3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,211,5.356586274672012,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,4,241.0
10,2.3978952727983707,1,1,0,3,0,25,3.258096538021482,0,1,0,4,5,244,5.501258210544727,1,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,1,0,1003.0
5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,94,4.553876891600541,1,1,4,3,4,21,3.091042453358316,0,0,1,0,1,1,1,48578.0
6,1.9459101490553132,1,0,1,6,6,54,4.007333185232471,1,0,4,5,4,502,6.220590170099739,1,1,2,5,2,22,3.1354942159291497,1,1,2,1,2,2,1,3125.0
6,1.9459101490553132,1,0,1,6,6,13,2.6390573296152584,0,1,3,6,3,318,5.765191102784844,1,0,3,3,8,10,2.3978952727983707,1,1,0,3,0,1,1,2911.0
11,2.4849066497880004,0,2,1,4,1,14,2.70805020110221,1,2,4,0,4,185,5.225746673713202,0,2,0,3,5,13,2.6390573296152584,0,1,3,6,3,1,0,8480.0
8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,0,6,0,473,6.161207321695077,0,2,3,4,3,15,2.772588722239781,0,0,0,1,5,1,0,7322.0
7,2.0794415416798357,0,1,2,0,7,19,2.995732273553991,0,1,4,5,9,420,6.042632833682381,1,0,0,0,0,10,2.3978952727983707,1,1,0,3,0,1,2,41273.0
10,2.3978952727983707,1,1,0,3,0,43,3.784189633918261,0,1,3,1,3,499,6.214608098422191,0,1,4,2,9,16,2.833213344056216,1,1,1,2,6,1,0,114671.0
12,2.5649493574615367,1,0,2,5,2,44,3.8066624897703196,1,2,4,2,4,176,5.176149732573829,1,2,1,1,6,5,1.791759469228055,0,2,0,5,5,1,1,36471.0
5,1.791759469228055,0,2,0,5,5,42,3.7612001156935624,1,0,2,0,2,312,5.746203190540153,1,0,2,4,2,14,2.70805020110221,1,2,4,0,4,1,1,13193.0
10,2.3978952727983707,1,1,0,3,0,29,3.4011973816621555,0,2,4,1,9,488,6.192362489474872,1,2,3,5,8,18,2.9444389791664403,1,0,3,4,8,1,0,28669.0
5,1.791759469228055,0,2,0,5,5,14,2.70805020110221,1,2,4,0,4,242,5.493061443340548,1,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,1,0,3545.0
8,2.1972245773362196,1,2,3,1,8,54,4.007333185232471,1,0,4,5,4,538,6.289715570908998,1,1,3,6,8,10,2.3978952727983707,1,1,0,3,0,2,0,12133.0
4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,2,6,130,4.875197323201151,1,1,0,4,0,9,2.302585092994046,0,0,4,2,9,1,1,917.0
