slot_a_real,slot_a_real_abs_log1p,slot_a_real_is_even,slot_a_real_mod3,slot_a_real_mod5,slot_a_real_mod7,slot_a_real_mod10,slot_a_imag,slot_a_imag_abs_log1p,slot_a_imag_is_even,slot_a_imag_mod3,slot_a_imag_mod5,slot_a_imag_mod7,slot_a_imag_mod10,slot_b_real,slot_b_real_abs_log1p,slot_b_real_sign,slot_b_real_is_even,slot_b_real_mod3,slot_b_real_mod5,slot_b_real_mod7,slot_b_real_mod10,slot_b_imag,slot_b_imag_abs_log1p,slot_b_imag_sign,slot_b_imag_is_even,slot_b_imag_mod3,slot_b_imag_mod5,slot_b_imag_mod7,slot_b_imag_mod10,slot_radius,slot_radius_abs_log1p,slot_radius_is_even,slot_radius_mod3,slot_radius_mod5,slot_radius_mod7,slot_radius_mod10,gcd_all,n_multiple_pairs,y
122,4.812184355372417,1,2,2,3,2,80,4.394449154672439,1,2,0,3,0,-1728,7.455298485683291,-1,1,0,2,1,2,-120,4.795790545596741,-1,1,0,0,6,0,3,1.3862943611198906,0,0,3,3,3,1,2,350.0
132,4.890349128221754,1,0,2,6,2,111,4.718498871295094,0,0,1,6,1,-2268,7.727094484779841,-1,1,0,2,0,2,3591,8.18646442942209,1,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,3,4,936.0
54,4.007333185232471,1,0,4,5,4,39,3.6888794541139363,0,0,4,4,9,-8316,9.026056891868688,-1,1,0,4,0,4,-23289,10.055779362878386,-1,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,1,3,3690.0
140,4.948759890378168,1,2,0,0,0,103,4.6443908991413725,0,1,3,5,3,-1540,7.340186835320115,-1,1,2,0,0,0,-1100,7.00397413672268,-1,1,1,0,6,0,5,1.791759469228055,0,2,0,5,5,1,4,833.0
55,4.02535169073515,0,1,0,6,5,104,4.653960350157523,1,2,4,6,4,-8320,9.02653771890043,-1,1,2,0,3,0,-7344,8.901775088607979,-1,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,1,4,1850.0
76,4.343805421853684,1,1,1,6,6,66,4.204692619390966,1,0,1,3,6,1790,7.490529402060711,1,1,2,0,5,0,-14750,9.599066156080049,-1,1,1,0,6,0,5,1.791759469228055,0,2,0,5,5,1,2,3362.0
103,4.6443908991413725,0,1,3,5,3,87,4.477336814478207,0,0,2,3,7,-1804,7.498315870766981,-1,1,2,1,2,6,4408,8.391403185357937,1,1,1,3,5,8,2,1.0986122886681098,1,2,2,2,2,1,2,2146.0
42,3.7612001156935624,1,0,2,0,2,10,2.3978952727983707,1,1,0,3,0,-12000,9.392745258631441,-1,1,0,0,5,0,-21750,9.987415012471414,-1,1,0,0,6,0,10,2.3978952727983707,1,1,0,3,0,2,5,2405.0
56,4.04305126783455,1,2,1,0,6,69,4.248495242049359,0,0,4,6,9,-2000,7.601402334583733,-1,1,1,0,2,0,-25,3.258096538021482,-1,0,2,0,3,5,5,1.791759469228055,0,2,0,5,5,1,3,370.0
46,3.8501476017100584,1,1,1,4,6,132,4.890349128221754,1,0,2,6,2,-1900,7.550135342488429,-1,1,2,0,4,0,9600,9.169622538697624,1,1,0,0,3,0,10,2.3978952727983707,1,1,0,3,0,2,2,450.0
15,2.772588722239781,0,0,0,1,5,125,4.836281906951478,0,2,0,6,5,-15500,9.648659816955295,-1,1,1,0,5,0,-2200,7.696667081526462,-1,1,2,0,5,0,10,2.3978952727983707,1,1,0,3,0,5,3,2030.0
52,3.970291913552122,1,1,2,3,2,116,4.762173934797756,1,2,1,4,6,2412,7.7886260656250315,1,1,0,2,4,2,-1980,7.591357046698551,-1,1,0,0,1,0,3,1.3862943611198906,0,0,3,3,3,1,2,1392.0
66,4.204692619390966,1,0,1,3,6,85,4.454347296253507,0,1,0,1,5,-15000,9.61587214452889,-1,1,0,0,1,0,37300,10.526775414924009,1,1,1,0,4,0,10,2.3978952727983707,1,1,0,3,0,1,2,3000.0
75,4.330733340286331,0,0,0,5,5,134,4.90527477843843,1,2,4,1,4,-60,4.110873864173311,-1,1,0,0,3,0,-592,6.385194398997726,-1,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,1,2,741.0
147,4.997212273764115,0,0,2,0,7,89,4.499809670330265,0,2,4,5,9,-28620,10.261895993101012,-1,1,0,0,3,0,-31700,10.36410350510914,-1,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,1,2,4292.0
18,2.9444389791664403,1,0,3,4,8,39,3.6888794541139363,0,0,4,4,9,-1930,7.565793282428515,-1,1,2,0,2,0,-1800,7.496097345175956,-1,1,0,0,6,0,5,1.791759469228055,0,2,0,5,5,1,3,629.0
96,4.574710978503383,1,0,1,5,6,18,2.9444389791664403,1,0,3,4,8,-8016,8.989319566042951,-1,1,0,4,6,4,-7168,8.877521453852872,-1,1,2,2,0,2,8,2.1972245773362196,1,2,3,1,8,2,3,1066.0
138,4.9344739331306915,1,0,3,5,8,104,4.653960350157523,1,2,4,6,4,-3348,8.116417072794205,-1,1,0,2,5,2,7632,8.94023623179847,1,1,0,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,3,702.0
52,3.970291913552122,1,1,2,3,2,87,4.477336814478207,0,0,2,3,7,-4284,8.36287583103188,-1,1,0,1,0,6,11913,9.385469458188632,1,0,0,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,3,3922.0
73,4.30406509320417,0,1,3,3,3,93,4.543294782270004,0,0,3,2,3,-3018,8.012680929706839,-1,1,0,2,6,2,2412,7.7886260656250315,1,1,0,2,4,2,6,1.9459101490553132,1,0,1,6,6,1,2,169.0
68,4.23410650459726,1,2,3,5,8,32,3.4965075614664802,1,2,2,4,2,-5352,8.585412430393381,-1,1,0,3,3,8,-352,5.8664680569332965,-1,1,2,3,5,8,8,2.1972245773362196,1,2,3,1,8,4,4,325.0
19,2.995732273553991,0,1,4,5,9,126,4.844187086458591,1,0,1,0,6,-804,6.690842277418564,-1,1,0,1,1,6,816,6.705639094860003,1,1,0,1,4,6,4,1.6094379124341003,1,1,4,4,4,1,2,325.0
142,4.962844630259907,1,1,2,2,2,30,3.4339872044851463,1,0,0,2,0,3942,8.279697133877628,1,1,0,2,1,2,5751,8.657302899400882,1,0,0,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,3,2523.0
31,3.4657359027997265,0,1,1,3,1,64,4.174387269895637,1,1,4,1,4,1084,6.98933526597456,1,1,1,4,6,4,-2768,7.926241523170962,-1,1,1,2,4,2,4,1.6094379124341003,1,1,4,4,4,1,3,1027.0
129,4.867534450455582,0,0,4,3,9,22,3.1354942159291497,1,1,2,1,2,-7794,8.961237781491876,-1,1,0,1,4,6,-10008,9.211239967219019,-1,1,0,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,2,1875.0
125,4.836281906951478,0,2,0,6,5,106,4.672828834461906,1,1,1,1,6,5940,8.689632748355741,1,1,0,0,4,0,14778,9.600962533214572,1,1,0,3,1,8,6,1.9459101490553132,1,0,1,6,6,1,2,2523.0
124,4.8283137373023015,1,1,4,5,4,104,4.653960350157523,1,2,4,6,4,-4585,8.43076346341785,-1,0,2,0,0,5,4580,8.429672593886743,1,1,2,0,2,0,5,1.791759469228055,0,2,0,5,5,1,2,495.0
59,4.0943445622221,0,2,4,3,9,115,4.7535901911063645,0,1,0,3,5,1856,7.526717561352706,1,1,2,1,1,6,11440,9.344958673700944,1,1,1,0,2,0,4,1.6094379124341003,1,1,4,4,4,1,2,2500.0
10,2.3978952727983707,1,1,0,3,0,68,4.23410650459726,1,2,3,5,8,-40,3.713572066704308,-1,1,2,0,2,0,3552,8.175547596021026,1,1,0,2,3,2,8,2.1972245773362196,1,2,3,1,8,2,3,125.0
60,4.110873864173311,1,0,0,4,0,41,3.7376696182833684,0,2,1,6,1,-132,4.890349128221754,-1,1,0,3,1,8,4336,8.374938143835367,1,1,1,1,3,6,4,1.6094379124341003,1,1,4,4,4,1,3,943.0
146,4.990432586778736,1,2,1,6,6,53,3.9889840465642745,0,2,3,4,3,-22694,10.029899914890565,-1,1,1,1,0,6,18914,9.84771053706713,1,1,2,4,0,4,7,2.0794415416798357,0,1,2,0,7,1,2,3219.0
80,4.394449154672439,1,2,0,3,0,11,2.4849066497880004,0,2,1,4,1,-544,6.300785794663244,-1,1,2,1,2,6,464,6.142037405587356,1,1,2,4,2,4,2,1.0986122886681098,1,2,2,2,2,1,3,238.0
150,5.017279836814924,1,0,0,3,0,142,4.962844630259907,1,1,2,2,2,-11280,9.33087517360492,-1,1,0,0,4,0,3350,8.11701408773731,1,1,2,0,4,0,10,2.3978952727983707,1,1,0,3,0,2,3,1147.0
100,4.61512051684126,1,1,0,2,0,32,3.4965075614664802,1,2,2,4,2,-5022,8.521782643750045,-1,1,0,3,4,8,3048,8.022568946988255,1,1,0,3,3,8,6,1.9459101490553132,1,0,1,6,6,2,2,395.0
20,3.044522437723423,1,2,0,6,0,130,4.875197323201151,1,1,0,4,0,144,4.976733742420574,1,1,0,4,4,4,738,6.6052979209482015,1,1,0,3,3,8,3,1.3862943611198906,0,0,3,3,3,1,2,180.0
43,3.784189633918261,0,1,3,1,3,150,5.017279836814924,1,0,0,3,0,2736,7.914617709040679,1,1,0,1,6,6,-9216,9.128804883993665,-1,1,0,4,3,4,8,2.1972245773362196,1,2,3,1,8,1,2,2450.0
49,3.912023005428146,0,1,4,0,9,17,2.8903717578961645,0,2,2,3,7,-7128,8.871926251117628,-1,1,0,2,5,2,5589,8.628734566149145,1,0,0,4,3,9,9,2.302585092994046,0,0,4,2,9,1,2,585.0
113,4.736198448394496,0,2,3,1,3,111,4.718498871295094,0,0,1,6,1,-276,5.6240175061873385,-1,1,0,4,4,4,-3114,8.043984431221553,-1,1,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,1,2,1343.0
122,4.812184355372417,1,2,2,3,2,57,4.060443010546419,0,0,2,1,7,-708,6.5638555265321274,-1,1,0,2,6,2,756,6.6293632534374485,1,1,0,1,0,6,2,1.0986122886681098,1,2,2,2,2,1,3,286.0
129,4.867534450455582,0,0,4,3,9,106,4.672828834461906,1,1,1,1,6,-2214,7.703007682479236,-1,1,0,1,5,6,-6984,8.851520271691061,-1,1,0,1,2,6,6,1.9459101490553132,1,0,1,6,6,1,2,1845.0
143,4.969813299576001,0,2,3,3,3,120,4.795790545596741,1,0,0,1,0,-702,6.555356891810665,-1,1,0,3,5,8,300,5.707110264748875,1,1,0,0,6,0,3,1.3862943611198906,0,0,3,3,3,1,3,325.0
137,4.927253685157205,0,2,2,4,7,85,4.454347296253507,0,1,0,1,5,-20770,9.941313062076109,-1,1,2,0,6,0,-15740,9.664024052354822,-1,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,1,2,2525.0
133,4.897839799950911,0,1,3,0,3,101,4.624972813284271,0,2,1,3,1,-7540,8.928110078202646,-1,1,2,0,6,0,20900,9.94755228369823,1,1,2,0,5,0,10,2.3978952727983707,1,1,0,3,0,1,2,1224.0
22,3.1354942159291497,1,1,2,1,2,39,3.6888794541139363,0,0,4,4,9,1437,7.271008538280992,1,0,0,2,2,7,4275,8.360773272144936,1,0,0,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,3,1417.0
31,3.4657359027997265,0,1,1,3,1,50,3.9318256327243257,1,2,0,1,0,-13716,9.526391218478407,-1,1,0,4,4,4,-11430,9.344084242025778,-1,1,0,0,1,0,6,1.9459101490553132,1,0,1,6,6,1,2,3045.0
18,2.9444389791664403,1,0,3,4,8,120,4.795790545596741,1,0,0,1,0,-2298,7.740229524763182,-1,1,0,2,5,2,5085,8.534246945982066,1,0,0,0,3,5,3,1.3862943611198906,0,0,3,3,3,3,4,1513.0
145,4.983606621708336,0,1,0,5,5,24,3.2188758248682006,1,0,4,3,4,-3372,8.12355783506165,-1,1,0,3,2,8,7200,8.881975184248867,1,1,0,0,4,0,6,1.9459101490553132,1,0,1,6,6,1,4,1100.0
68,4.23410650459726,1,2,3,5,8,133,4.897839799950911,0,1,3,0,3,-3912,8.272059622210412,-1,1,0,3,1,8,7456,8.916908467543795,1,1,1,1,1,6,8,2.1972245773362196,1,2,3,1,8,1,2,143.0
148,5.003946305945459,1,1,3,1,8,131,4.882801922586371,0,2,1,5,1,38,3.6635616461296463,1,1,2,3,3,8,3324,8.109224953089955,1,1,0,4,6,4,2,1.0986122886681098,1,2,2,2,2,1,3,1435.0
84,4.442651256490317,1,0,4,0,4,27,3.332204510175204,0,0,2,6,7,-10176,9.227885551191932,-1,1,0,4,2,4,15728,9.663261421240643,1,1,2,3,6,8,8,2.1972245773362196,1,2,3,1,8,1,2,1850.0
12,2.5649493574615367,1,0,2,5,2,145,4.983606621708336,0,1,0,5,5,-1104,7.007600613951853,-1,1,0,1,2,6,3536,8.17103418920548,1,1,2,1,1,6,4,1.6094379124341003,1,1,4,4,4,1,4,380.0
106,4.672828834461906,1,1,1,1,6,22,3.1354942159291497,1,1,2,1,2,-12366,9.422786913742057,-1,1,0,4,3,4,-11178,9.321792297270326,-1,1,0,2,1,2,9,2.302585092994046,0,0,4,2,9,1,2,1500.0
50,3.9318256327243257,1,2,0,1,0,17,2.8903717578961645,0,2,2,3,7,960,6.8679744089702925,1,1,0,0,1,0,4496,8.411165786770708,1,1,2,1,2,6,4,1.6094379124341003,1,1,4,4,4,1,2,1144.0
94,4.553876891600541,1,1,4,3,4,55,4.02535169073515,0,1,0,6,5,-4875,8.492080490601163,-1,0,0,0,4,5,-4685,8.452334619067742,-1,0,1,0,5,5,5,1.791759469228055,0,2,0,5,5,1,3,1313.0
126,4.844187086458591,1,0,1,0,6,137,4.927253685157205,0,2,2,4,7,-11664,9.36434818445553,-1,1,0,1,5,6,13041,9.475930197953147,1,0,0,1,0,1,9,2.302585092994046,0,0,4,2,9,1,3,270.0
73,4.30406509320417,0,1,3,3,3,57,4.060443010546419,0,0,2,1,7,896,6.799055862058796,1,1,2,1,0,6,5508,8.614138397472717,1,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,1,2,2706.0
121,4.804021044733257,0,1,1,2,1,113,4.736198448394496,0,2,3,1,3,1676,7.424761761823209,1,1,2,1,3,6,6752,8.817742129574842,1,1,2,2,4,2,2,1.0986122886681098,1,2,2,2,2,1,2,3330.0
41,3.7376696182833684,0,2,1,6,1,139,4.941642422609304,0,1,4,6,9,396,5.983936280687191,1,1,0,1,4,6,-1364,7.21890970761906,-1,1,1,1,1,6,2,1.0986122886681098,1,2,2,2,2,1,2,1000.0
91,4.5217885770490405,0,1,1,0,1,150,5.017279836814924,1,0,0,3,0,-2896,7.9714309977693505,-1,1,2,4,2,4,4320,8.371242135931933,1,1,0,0,1,0,4,1.6094379124341003,1,1,4,4,4,1,2,600.0
88,4.48863636973214,1,1,3,4,8,20,3.044522437723423,1,2,0,6,0,-10192,9.229456489168413,-1,1,2,3,0,8,-16170,9.690974793577944,-1,1,0,0,0,0,7,2.0794415416798357,0,1,2,0,7,1,2,2590.0
94,4.553876891600541,1,1,4,3,4,24,3.2188758248682006,1,0,4,3,4,-1032,6.940222469119639,-1,1,0,3,4,8,8928,9.097059685517216,1,1,0,3,3,8,6,1.9459101490553132,1,0,1,6,6,2,5,1400.0
47,3.871201010907891,0,2,2,5,7,23,3.1780538303479458,0,2,3,2,3,468,6.150602768446279,1,1,0,3,6,8,3296,8.10076824307173,1,1,2,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,2,793.0
32,3.4965075614664802,1,2,2,4,2,17,2.8903717578961645,0,2,2,3,7,4984,8.514188682395938,1,1,1,4,0,4,-11452,9.346006983397716,-1,1,2,3,0,8,7,2.0794415416798357,0,1,2,0,7,1,2,1989.0
71,4.276666119016055,0,2,1,1,1,71,4.276666119016055,0,2,1,1,1,5728,8.653296274408579,1,1,1,3,2,8,-25416,10.143173520469649,-1,1,0,4,1,4,8,2.1972245773362196,1,2,3,1,8,1,3,3959.0
133,4.897839799950911,0,1,3,0,3,77,4.356708826689592,0,2,2,0,7,-112,4.727387818712341,-1,1,2,3,0,8,1748,7.466799475018602,1,1,2,3,5,8,2,1.0986122886681098,1,2,2,2,2,1,2,750.0
84,4.442651256490317,1,0,4,0,4,99,4.605170185988092,0,0,4,1,9,-18684,9.835476341919584,-1,1,0,1,6,6,-26631,10.18986877925486,-1,0,0,4,4,9,9,2.302585092994046,0,0,4,2,9,3,4,4070.0
74,4.31748811353631,1,2,4,4,4,26,3.295836866004329,1,2,1,5,6,-7632,8.94023623179847,-1,1,0,3,5,8,-13554,9.514510761932765,-1,1,0,1,5,6,6,1.9459101490553132,1,0,1,6,6,2,2,2553.0
114,4.74493212836325,1,0,4,2,4,66,4.204692619390966,1,0,1,3,6,-1775,7.4821189235521155,-1,0,1,0,3,5,4230,8.350193650720067,1,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,1,2,559.0
124,4.8283137373023015,1,1,4,5,4,148,5.003946305945459,1,1,3,1,8,-2215,7.703459047867175,-1,0,2,0,4,5,2520,7.83241092718792,1,1,0,0,0,0,5,1.791759469228055,0,2,0,5,5,1,2,295.0
145,4.983606621708336,0,1,0,5,5,66,4.204692619390966,1,0,1,3,6,-2500,7.824445930877619,-1,1,2,0,6,0,150,5.017279836814924,1,1,0,0,3,0,5,1.791759469228055,0,2,0,5,5,1,3,375.0
46,3.8501476017100584,1,1,1,4,6,124,4.8283137373023015,1,1,4,5,4,-2000,7.601402334583733,-1,1,1,0,2,0,18640,9.833118734869245,1,1,1,0,6,0,10,2.3978952727983707,1,1,0,3,0,2,2,676.0
10,2.3978952727983707,1,1,0,3,0,61,4.127134385045092,0,1,1,5,1,-504,6.22455842927536,-1,1,0,1,0,6,1101,7.004881989712859,1,0,0,1,2,1,3,1.3862943611198906,0,0,3,3,3,1,2,230.0
60,4.110873864173311,1,0,0,4,0,98,4.59511985013459,1,2,3,0,8,-15720,9.662752677191515,-1,1,0,0,2,0,-10710,9.27902652976463,-1,1,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,2,4,3277.0
60,4.110873864173311,1,0,0,4,0,48,3.8918202981106265,1,0,3,6,8,1872,7.5352967024440884,1,1,0,2,3,2,-16512,9.711903228462988,-1,1,0,3,1,8,8,2.1972245773362196,1,2,3,1,8,4,5,2550.0
96,4.574710978503383,1,0,1,5,6,98,4.59511985013459,1,2,3,0,8,-352,5.8664680569332965,-1,1,2,3,5,8,3788,8.239857411018601,1,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,2,3,629.0
62,4.143134726391533,1,2,2,6,2,97,4.584967478670572,0,1,2,6,7,-3546,8.173857454773621,-1,1,0,4,3,4,5244,8.565030520830398,1,1,0,4,1,4,6,1.9459101490553132,1,0,1,6,6,1,2,365.0
99,4.605170185988092,0,0,4,1,9,30,3.4339872044851463,1,0,0,2,0,-6048,8.707648248106914,-1,1,0,2,0,2,2304,7.742835955430749,1,1,0,4,1,4,8,2.1972245773362196,1,2,3,1,8,1,2,60.0
54,4.007333185232471,1,0,4,5,4,144,4.976733742420574,1,0,4,4,4,-10566,9.265491216441031,-1,1,0,4,4,4,54,4.007333185232471,1,1,0,4,5,4,9,2.302585092994046,0,0,4,2,9,9,5,1462.0
11,2.4849066497880004,0,2,1,4,1,144,4.976733742420574,1,0,4,4,4,1099,7.003065458786462,1,0,1,4,0,9,-224,5.41610040220442,-1,1,1,1,0,6,7,2.0794415416798357,0,1,2,0,7,1,2,1066.0
47,3.871201010907891,0,2,2,5,7,34,3.5553480614894135,1,1,4,6,4,-6980,8.850947451970402,-1,1,1,0,6,0,-3250,8.086717920303906,-1,1,2,0,5,0,10,2.3978952727983707,1,1,0,3,0,1,2,703.0
11,2.4849066497880004,0,2,1,4,1,121,4.804021044733257,0,1,1,2,1,-4524,8.417372856134026,-1,1,0,1,5,6,12096,9.400712766959849,1,1,0,1,0,6,6,1.9459101490553132,1,0,1,6,6,1,3,1462.0
116,4.762173934797756,1,2,1,4,6,125,4.836281906951478,0,2,0,6,5,-12896,9.464750005164392,-1,1,1,4,5,4,-7960,8.982309899088579,-1,1,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,1,2,2109.0
37,3.6375861597263857,0,1,2,2,7,30,3.4339872044851463,1,0,0,2,0,2259,7.723120092266331,1,0,0,4,5,9,-4590,8.431853144249223,-1,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,1,4,1836.0
100,4.61512051684126,1,1,0,2,0,51,3.9512437185814275,0,0,1,2,1,-12204,9.40960098282706,-1,1,0,1,4,6,16101,9.686698766859926,1,0,0,1,1,1,9,2.302585092994046,0,0,4,2,9,1,2,1406.0
105,4.663439094112067,0,0,0,0,5,16,2.833213344056216,1,1,1,2,6,4179,8.338066525518801,1,0,0,4,0,9,-26411,10.181573731314462,-1,0,1,4,0,9,7,2.0794415416798357,0,1,2,0,7,1,3,4107.0
83,4.430816798843313,0,2,3,6,3,51,3.9512437185814275,0,0,1,2,1,-4050,8.30671904320269,-1,1,0,0,3,0,-3465,8.150756470275551,-1,0,0,0,0,5,5,1.791759469228055,0,2,0,5,5,1,2,1027.0
125,4.836281906951478,0,2,0,6,5,140,4.948759890378168,1,2,0,0,0,-6992,8.852664927703866,-1,1,1,3,1,8,7616,8.938137870372788,1,1,2,1,0,6,8,2.1972245773362196,1,2,3,1,8,1,2,210.0
29,3.4011973816621555,0,2,4,1,9,86,4.465908118654584,1,2,1,2,6,-4193,8.341410211461865,-1,0,1,2,0,7,-8106,9.000483164987708,-1,1,0,4,0,4,7,2.0794415416798357,0,1,2,0,7,1,2,1804.0
88,4.48863636973214,1,1,3,4,8,36,3.6109179126442243,1,0,1,1,6,1512,7.321849713788356,1,1,0,2,0,2,-3996,8.293299358711323,-1,1,0,4,1,4,3,1.3862943611198906,0,0,3,3,3,1,5,1632.0
66,4.204692619390966,1,0,1,3,6,66,4.204692619390966,1,0,1,3,6,1240,7.123672785204607,1,1,1,0,1,0,-2556,7.846589975291186,-1,1,0,4,6,4,2,1.0986122886681098,1,2,2,2,2,2,5,1598.0
111,4.718498871295094,0,0,1,6,1,74,4.31748811353631,1,2,4,4,4,-12717,9.450773591827353,-1,0,0,3,2,3,22554,10.023712049842496,1,1,0,4,0,4,9,2.302585092994046,0,0,4,2,9,1,2,1886.0
140,4.948759890378168,1,2,0,0,0,137,4.927253685157205,0,2,2,4,7,-8379,9.033603193476129,-1,0,0,1,0,1,11921,9.386140711779872,1,0,2,1,0,1,7,2.0794415416798357,0,1,2,0,7,1,3,775.0
110,4.709530201312334,1,2,0,5,0,88,4.48863636973214,1,1,3,4,8,-7857,8.969287400118406,-1,0,0,3,4,3,2448,7.803435056952168,1,1,0,3,5,8,9,2.302585092994046,0,0,4,2,9,1,2,533.0
70,4.2626798770413155,1,1,0,0,0,19,2.995732273553991,0,1,4,5,9,-6020,8.703008637464448,-1,1,1,0,0,0,-1460,7.2868764117507,-1,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,1,4,350.0
26,3.295836866004329,1,2,1,5,6,20,3.044522437723423,1,2,0,6,0,-1840,7.518064181233078,-1,1,2,0,1,0,-3580,8.183397369998433,-1,1,2,0,4,0,5,1.791759469228055,0,2,0,5,5,1,5,850.0
109,4.700480365792417,0,1,4,4,9,150,5.017279836814924,1,0,0,3,0,-4365,8.38160253710989,-1,0,0,0,3,5,3780,8.237743803890933,1,1,0,0,0,0,9,2.302585092994046,0,0,4,2,9,1,2,1054.0
50,3.9318256327243257,1,2,0,1,0,111,4.718498871295094,0,0,1,6,1,608,6.411818267709897,1,1,2,3,6,8,4416,8.393216011596527,1,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,2,748.0
149,5.0106352940962555,0,2,4,2,9,144,4.976733742420574,1,0,4,4,4,-25389,10.142110674698724,-1,0,0,1,0,1,-2322,7.750614732770409,-1,1,0,3,2,8,9,2.302585092994046,0,0,4,2,9,1,3,2146.0
38,3.6635616461296463,1,2,3,3,8,46,3.8501476017100584,1,1,1,4,6,5152,8.547334348328224,1,1,1,2,0,2,-19176,9.861466923273516,-1,1,0,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,3,2923.0
78,4.3694478524670215,1,0,3,1,8,121,4.804021044733257,0,1,1,2,1,-10088,9.219201000408379,-1,1,1,2,6,2,25216,10.13527364923168,1,1,1,1,2,6,8,2.1972245773362196,1,2,3,1,8,1,2,2275.0
20,3.044522437723423,1,2,0,6,0,49,3.912023005428146,0,1,4,0,9,760,6.634633357861686,1,1,1,0,4,0,3076,8.031710375322042,1,1,1,1,3,6,2,1.0986122886681098,1,2,2,2,2,1,4,1500.0
