slot_town_name,slot_total_residents,slot_total_residents_abs_log1p,slot_total_residents_is_even,slot_total_residents_mod3,slot_total_residents_mod5,slot_total_residents_mod7,slot_total_residents_mod10,slot_item_a_name,slot_item_b_name,slot_item_c_name,slot_universal_item_name,slot_count_item_a,slot_count_item_a_abs_log1p,slot_count_item_a_is_even,slot_count_item_a_mod3,slot_count_item_a_mod5,slot_count_item_a_mod7,slot_count_item_a_mod10,slot_count_item_b,slot_count_item_b_abs_log1p,slot_count_item_b_sign,slot_count_item_b_is_even,slot_count_item_b_mod3,slot_count_item_b_mod5,slot_count_item_b_mod7,slot_count_item_b_mod10,slot_count_item_c,slot_count_item_c_abs_log1p,slot_count_item_c_sign,slot_count_item_c_is_even,slot_count_item_c_mod3,slot_count_item_c_mod5,slot_count_item_c_mod7,slot_count_item_c_mod10,slot_count_universal,slot_count_universal_abs_log1p,slot_count_universal_is_even,slot_count_universal_mod3,slot_count_universal_mod5,slot_count_universal_mod7,slot_count_universal_mod10,slot_exactly_two_count,slot_exactly_two_count_abs_log1p,slot_exactly_two_count_sign,slot_exactly_two_count_is_even,slot_exactly_two_count_mod3,slot_exactly_two_count_mod5,slot_exactly_two_count_mod7,slot_exactly_two_count_mod10,slot_exactly_three_count,slot_exactly_three_count_abs_log1p,slot_exactly_three_count_sign,slot_exactly_three_count_is_even,slot_exactly_three_count_mod3,slot_exactly_three_count_mod5,slot_exactly_three_count_mod7,slot_exactly_three_count_mod10,gcd_all,n_multiple_pairs,y
3,1056,6.963189985870238,1,0,1,6,6,10,10,0,2,1056,6.963189985870238,1,0,1,6,6,114,4.74493212836325,1,1,0,4,2,4,0,0.0,0,1,0,0,0,0,1056,6.963189985870238,1,0,1,6,6,602,6.401917196727186,1,1,2,2,0,2,101,4.624972813284271,1,0,2,1,3,1,1,3,122.0
5,1967,7.584773077612199,0,2,2,0,7,11,7,9,1,1967,7.584773077612199,0,2,2,0,7,994,6.902742737158593,1,1,1,4,0,4,0,0.0,0,1,0,0,0,0,1967,7.584773077612199,0,2,2,0,7,955,6.862757913051401,1,0,1,0,3,5,967,6.875232087276577,1,0,1,2,1,7,1,3,24.0
4,872,6.771935555839602,1,2,2,4,2,12,6,5,0,872,6.771935555839602,1,2,2,4,2,365,5.902633333401366,1,0,2,0,1,5,0,0.0,0,1,0,0,0,0,872,6.771935555839602,1,2,2,4,2,342,5.8377304471659395,1,1,0,2,6,2,425,6.054439346269371,1,0,2,0,5,5,1,3,15.0
0,1865,7.531552381407289,0,2,0,3,5,4,5,0,3,1826,7.510430556378006,1,2,1,6,6,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,1865,7.531552381407289,0,2,0,3,5,1801,7.496652438168283,1,0,1,1,2,1,8,2.1972245773362196,1,1,2,3,1,8,1,1,3.0
0,1123,7.024649030453636,0,1,3,3,3,6,1,10,3,1123,7.024649030453636,0,1,3,3,3,24,3.2188758248682006,1,1,0,4,3,4,0,0.0,0,1,0,0,0,0,1123,7.024649030453636,0,1,3,3,3,1102,7.005789019253503,1,1,1,2,3,2,9,2.302585092994046,1,0,0,4,2,9,1,3,9.0
1,1236,7.1204443723924875,1,0,1,4,6,9,11,1,5,1236,7.1204443723924875,1,0,1,4,6,818,6.70808408385307,1,1,2,3,6,8,0,0.0,0,1,0,0,0,0,1236,7.1204443723924875,1,0,1,4,6,699,6.551080335043404,1,0,0,4,6,9,226,5.424950017481403,1,1,1,1,2,6,1,3,301.0
6,1535,7.336936913707618,0,2,0,2,5,4,1,3,0,1535,7.336936913707618,0,2,0,2,5,732,6.597145701886651,1,1,0,2,4,2,0,0.0,0,1,0,0,0,0,1535,7.336936913707618,0,2,0,2,5,563,6.335054251498059,1,0,2,3,3,3,771,6.648984550024776,1,0,0,1,1,1,1,3,54.0
7,524,6.263398262591624,1,2,4,6,4,12,12,7,3,524,6.263398262591624,1,2,4,6,4,202,5.313205979041787,1,1,1,2,6,2,0,0.0,0,1,0,0,0,0,524,6.263398262591624,1,2,4,6,4,408,6.013715156042802,1,1,0,3,2,8,30,3.4339872044851463,1,1,0,0,2,0,2,3,86.0
8,1753,7.469654172932128,0,1,3,3,3,6,2,4,1,1753,7.469654172932128,0,1,3,3,3,1753,7.469654172932128,1,0,1,3,3,3,112,4.727387818712341,1,1,1,2,0,2,1753,7.469654172932128,0,1,3,3,3,161,5.087596335232384,1,0,2,1,0,1,1229,7.114769448366463,1,0,2,4,4,9,1,6,333.0
5,1659,7.414572881350589,0,0,4,0,9,10,0,11,0,1659,7.414572881350589,0,0,4,0,9,438,6.0844994130751715,1,1,0,3,4,8,0,0.0,0,1,0,0,0,0,1659,7.414572881350589,0,0,4,0,9,944,6.851184927493743,1,1,2,4,6,4,512,6.240275845170769,1,1,2,2,1,2,1,3,43.0
8,1434,7.268920128193722,1,0,4,6,4,7,13,8,4,1434,7.268920128193722,1,0,4,6,4,885,6.786716950605081,1,0,0,0,3,5,0,0.0,0,1,0,0,0,0,1434,7.268920128193722,1,0,4,6,4,399,5.991464547107982,1,0,0,4,0,9,897,6.8001700683022,1,0,0,2,1,7,3,3,42.0
3,364,5.8998973535824915,1,1,4,0,4,13,0,11,5,320,5.771441123130016,1,2,0,5,0,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,364,5.8998973535824915,1,1,4,0,4,158,5.0689042022202315,1,1,2,3,4,8,27,3.332204510175204,1,0,0,2,6,7,1,1,36.0
8,674,6.51471269087253,1,2,4,2,4,5,11,12,2,674,6.51471269087253,1,2,4,2,4,82,4.418840607796598,1,1,1,2,5,2,0,0.0,0,1,0,0,0,0,674,6.51471269087253,1,2,4,2,4,594,6.38856140554563,1,1,0,4,6,4,69,4.248495242049359,1,0,0,4,6,9,1,3,8.0
0,644,6.4692503167957724,1,2,4,0,4,11,3,7,3,630,6.447305862541213,1,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,644,6.4692503167957724,1,2,4,0,4,626,6.440946540632921,1,1,2,1,3,6,2,1.0986122886681098,1,1,2,2,2,2,2,5,0.0
6,585,6.373319789577012,0,0,0,4,5,0,14,9,2,585,6.373319789577012,0,0,0,4,5,9,2.302585092994046,1,0,0,4,2,9,0,0.0,0,1,0,0,0,0,585,6.373319789577012,0,0,0,4,5,577,6.359573868672378,1,0,1,2,3,7,4,1.6094379124341003,1,1,1,4,4,4,1,6,3.0
5,1100,7.00397413672268,1,2,0,1,0,3,14,13,0,1100,7.00397413672268,1,2,0,1,0,219,5.393627546352362,1,0,0,4,2,9,0,0.0,0,1,0,0,0,0,1100,7.00397413672268,1,2,0,1,0,851,6.747586526829315,1,0,2,1,4,1,135,4.912654885736052,1,0,0,0,2,5,1,3,66.0
6,1632,7.398174092970465,1,0,2,1,2,12,0,5,4,1632,7.398174092970465,1,0,2,1,2,627,6.4425401664681985,1,0,0,2,4,7,0,0.0,0,1,0,0,0,0,1632,7.398174092970465,1,0,2,1,2,337,5.823045895483019,1,0,1,2,1,7,472,6.159095388491933,1,1,1,2,3,2,1,3,326.0
7,453,6.118097198041348,0,0,3,5,3,4,4,6,2,453,6.118097198041348,0,0,3,5,3,292,5.680172609017068,1,1,1,2,5,2,0,0.0,0,1,0,0,0,0,453,6.118097198041348,0,0,3,5,3,171,5.147494476813453,1,0,0,1,3,1,203,5.318119993844216,1,0,2,3,0,3,1,3,56.0
2,1913,7.5569505720129,0,2,3,2,3,9,11,14,0,1913,7.5569505720129,0,2,3,2,3,365,5.902633333401366,1,0,2,0,1,5,0,0.0,0,1,0,0,0,0,1913,7.5569505720129,0,2,3,2,3,1549,7.346010209913293,1,0,1,4,2,9,348,5.855071922202427,1,1,0,3,5,8,1,3,11.0
1,1351,7.20934025660291,0,1,1,0,1,4,14,1,2,746,6.616065185132817,1,2,1,4,6,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,1351,7.20934025660291,0,1,1,0,1,7,2.0794415416798357,1,0,1,2,0,7,329,5.799092654460526,1,0,2,4,0,9,1,4,27.0
5,1629,7.396335293800808,0,0,4,5,9,1,15,9,0,1629,7.396335293800808,0,0,4,5,9,1252,7.133295954896068,1,1,1,2,6,2,0,0.0,0,1,0,0,0,0,1629,7.396335293800808,0,0,4,5,9,413,6.025865973825314,1,0,2,3,0,3,1159,7.05617528410041,1,0,1,4,4,9,1,3,50.0
2,916,6.821107472256465,1,1,1,6,6,12,9,5,0,916,6.821107472256465,1,1,1,6,6,747,6.617402977974478,1,0,0,2,5,7,0,0.0,0,1,0,0,0,0,916,6.821107472256465,1,1,1,6,6,157,5.062595033026967,1,0,1,2,3,7,726,6.588926477533519,1,1,0,1,5,6,1,3,18.0
3,1636,7.400620577371135,1,1,1,5,6,8,1,13,4,1285,7.1592919047975645,0,1,0,4,5,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,1636,7.400620577371135,1,1,1,5,6,827,6.71901315438526,1,0,2,2,1,7,211,5.356586274672012,1,0,1,1,1,1,1,1,12.0
5,362,5.8944028342648505,1,2,2,5,2,10,14,12,0,362,5.8944028342648505,1,2,2,5,2,108,4.6913478822291435,1,1,0,3,3,8,0,0.0,0,1,0,0,0,0,362,5.8944028342648505,1,2,2,5,2,255,5.545177444479562,1,0,0,0,3,5,94,4.553876891600541,1,1,1,4,3,4,1,3,9.0
2,1730,7.456454555176209,1,2,0,1,0,7,2,3,1,1730,7.456454555176209,1,2,0,1,0,1287,7.160845906664299,1,0,0,2,6,7,0,0.0,0,1,0,0,0,0,1730,7.456454555176209,1,2,0,1,0,570,6.3473892096560105,1,1,0,0,3,0,682,6.52649485957079,1,1,1,2,3,2,1,3,361.0
7,1129,7.029972911706386,0,1,4,2,9,10,15,1,4,1129,7.029972911706386,0,1,4,2,9,536,6.285998094508865,1,1,2,1,4,6,0,0.0,0,1,0,0,0,0,1129,7.029972911706386,0,1,4,2,9,773,6.651571873589727,1,0,2,3,3,3,98,4.59511985013459,1,1,2,3,0,8,1,3,232.0
6,433,6.073044534100405,0,1,3,6,3,12,11,4,1,433,6.073044534100405,0,1,3,6,3,2,1.0986122886681098,1,1,2,2,2,2,0,0.0,0,1,0,0,0,0,433,6.073044534100405,0,1,3,6,3,414,6.028278520230698,1,1,0,4,1,4,6,1.9459101490553132,1,1,0,1,6,6,1,6,3.0
2,1710,7.444833273892193,1,0,0,2,0,13,7,8,5,1710,7.444833273892193,1,0,0,2,0,471,6.156978985585555,1,0,0,1,2,1,0,0.0,0,1,0,0,0,0,1710,7.444833273892193,1,0,0,2,0,1135,7.035268599281097,1,0,1,0,1,5,181,5.204006687076795,1,0,1,1,6,1,1,3,228.0
1,1668,7.419979923661835,1,0,3,2,8,2,6,15,3,1668,7.419979923661835,1,0,3,2,8,1122,7.023758954738443,1,1,0,2,2,2,0,0.0,0,1,0,0,0,0,1668,7.419979923661835,1,0,3,2,8,770,6.647688373563329,1,1,2,0,0,0,539,6.29156913955832,1,0,2,4,0,9,1,3,314.0
5,609,6.413458957167357,0,0,4,0,9,8,3,12,5,609,6.413458957167357,0,0,4,0,9,609,6.413458957167357,1,0,0,4,0,9,27,3.332204510175204,1,0,0,2,6,7,609,6.413458957167357,0,0,4,0,9,51,3.9512437185814275,1,0,0,1,2,1,282,5.645446897643238,1,1,0,2,2,2,3,6,210.0
8,409,6.016157159698354,0,1,4,3,9,12,11,13,1,409,6.016157159698354,0,1,4,3,9,2,1.0986122886681098,1,1,2,2,2,2,0,0.0,0,1,0,0,0,0,409,6.016157159698354,0,1,4,3,9,333,5.811140992976701,1,0,0,3,4,3,33,3.5263605246161616,1,0,0,3,5,3,1,3,4.0
7,1238,7.122059881629142,1,2,3,6,8,12,10,6,5,1238,7.122059881629142,1,2,3,6,8,955,6.862757913051401,1,0,1,0,3,5,0,0.0,0,1,0,0,0,0,1238,7.122059881629142,1,2,3,6,8,509,6.234410725718371,1,0,2,4,5,9,245,5.5053315359323625,1,0,2,0,0,5,1,3,398.0
2,1752,7.469083884921234,1,0,2,2,2,9,2,7,0,1752,7.469083884921234,1,0,2,2,2,1010,6.918695219020472,1,1,2,0,2,0,0,0.0,0,1,0,0,0,0,1752,7.469083884921234,1,0,2,2,2,699,6.551080335043404,1,0,0,4,6,9,1030,6.93828448401696,1,1,1,0,1,0,1,3,1.0
1,1559,7.352441100243583,0,2,4,5,9,0,7,7,4,1559,7.352441100243583,0,2,4,5,9,191,5.2574953720277815,1,0,2,1,2,1,0,0.0,0,1,0,0,0,0,1559,7.352441100243583,0,2,4,5,9,615,6.423246963533519,1,0,0,0,6,5,152,5.030437921392435,1,1,2,2,5,2,1,3,277.0
4,1670,7.421177528595393,1,2,0,4,0,14,12,12,1,1670,7.421177528595393,1,2,0,4,0,724,6.586171654854675,1,1,1,4,3,4,0,0.0,0,1,0,0,0,0,1670,7.421177528595393,1,2,0,4,0,1074,6.980075940561763,1,1,0,4,3,4,363,5.8971538676367405,1,0,0,3,6,3,1,3,198.0
3,1422,7.260522598089852,1,0,2,1,2,5,11,0,4,1422,7.260522598089852,1,0,2,1,2,1422,7.260522598089852,1,1,0,2,1,2,188,5.241747015059643,1,1,2,3,6,8,1422,7.260522598089852,1,0,2,1,2,9,2.302585092994046,1,0,0,4,2,9,553,6.317164686747284,1,0,1,3,0,3,1,10,639.0
1,862,6.760414691083428,1,1,2,1,2,8,0,7,3,862,6.760414691083428,1,1,2,1,2,402,5.998936561946683,1,1,0,2,3,2,0,0.0,0,1,0,0,0,0,862,6.760414691083428,1,1,2,1,2,554,6.318968113746434,1,1,2,4,1,4,154,5.043425116919247,1,1,1,4,0,4,2,3,134.0
4,527,6.269096283706261,0,2,2,2,7,6,2,14,1,321,5.7745515455444085,0,0,1,6,1,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,527,6.269096283706261,0,2,2,2,7,51,3.9512437185814275,1,0,0,1,2,1,3,1.3862943611198906,1,0,0,3,3,3,1,3,88.0
5,330,5.802118375377063,1,0,0,1,0,6,0,2,4,330,5.802118375377063,1,0,0,1,0,134,4.90527477843843,1,1,2,4,1,4,0,0.0,0,1,0,0,0,0,330,5.802118375377063,1,0,0,1,0,191,5.2574953720277815,1,0,2,1,2,1,117,4.770684624465665,1,0,0,2,5,7,1,3,13.0
1,1683,7.428927194802272,0,0,3,3,3,5,13,13,0,1683,7.428927194802272,0,0,3,3,3,1593,7.374001859350161,1,0,0,3,4,3,0,0.0,0,1,0,0,0,0,1683,7.428927194802272,0,0,3,3,3,34,3.5553480614894135,1,1,1,4,6,4,1462,7.288244401020124,1,1,1,2,6,2,1,4,106.0
6,1290,7.1631723908466425,1,0,0,2,0,4,1,10,0,1290,7.1631723908466425,1,0,0,2,0,1290,7.1631723908466425,1,1,0,0,2,0,608,6.411818267709897,1,1,2,3,6,8,1290,7.1631723908466425,1,0,0,2,0,192,5.262690188904886,1,1,0,2,3,2,115,4.7535901911063645,1,0,1,0,3,5,1,6,922.0
7,748,6.618738983517219,1,1,3,6,8,15,2,16,0,748,6.618738983517219,1,1,3,6,8,486,6.18826412308259,1,1,0,1,3,6,0,0.0,0,1,0,0,0,0,748,6.618738983517219,1,1,3,6,8,193,5.267858159063328,1,0,1,3,4,3,327,5.793013608384144,1,0,0,2,5,7,1,3,129.0
0,772,6.650279048587422,1,1,2,2,2,5,1,13,2,772,6.650279048587422,1,1,2,2,2,772,6.650279048587422,1,1,1,2,2,2,58,4.07753744390572,1,1,1,3,2,8,772,6.650279048587422,1,1,2,2,2,98,4.59511985013459,1,1,2,3,0,8,470,6.154858094016418,1,1,2,0,1,0,2,6,188.0
3,504,6.22455842927536,1,0,4,0,4,11,3,5,0,504,6.22455842927536,1,0,4,0,4,76,4.343805421853684,1,1,1,1,6,6,0,0.0,0,1,0,0,0,0,504,6.22455842927536,1,0,4,0,4,452,6.115892125483034,1,1,2,2,4,2,28,3.367295829986474,1,1,1,3,0,8,4,6,24.0
2,919,6.824373670043086,0,1,4,2,9,12,4,15,0,919,6.824373670043086,0,1,4,2,9,397,5.986452005284438,1,0,1,2,5,7,0,0.0,0,1,0,0,0,0,919,6.824373670043086,0,1,4,2,9,111,4.718498871295094,1,0,0,1,6,1,256,5.54907608489522,1,1,1,1,4,6,1,3,231.0
7,955,6.862757913051401,0,1,0,3,5,14,4,6,0,79,4.382026634673881,0,1,4,2,9,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,955,6.862757913051401,0,1,0,3,5,2,1.0986122886681098,1,1,2,2,2,2,25,3.258096538021482,1,0,1,0,4,5,1,1,9.0
4,1121,7.022868086082641,0,2,1,1,1,5,8,14,4,1121,7.022868086082641,0,2,1,1,1,439,6.0867747269123065,1,0,1,4,5,9,0,0.0,0,1,0,0,0,0,1121,7.022868086082641,0,2,1,1,1,673,6.513230110912307,1,0,1,3,1,3,358,5.883322388488279,1,1,1,3,1,8,1,3,57.0
3,1800,7.496097345175956,1,0,0,1,0,10,11,12,4,1800,7.496097345175956,1,0,0,1,0,814,6.703188113240863,1,1,1,4,2,4,0,0.0,0,1,0,0,0,0,1800,7.496097345175956,1,0,0,1,0,895,6.79794041297493,1,0,1,0,6,5,795,6.679599185844383,1,0,0,0,4,5,1,3,43.0
4,848,6.744059186311348,1,2,3,1,8,14,12,14,4,848,6.744059186311348,1,2,3,1,8,848,6.744059186311348,1,1,2,3,1,8,327,5.793013608384144,1,0,0,2,5,7,848,6.744059186311348,1,2,3,1,8,75,4.330733340286331,1,0,0,0,5,5,35,3.58351893845611,1,0,2,0,0,5,1,6,626.0
7,768,6.645090969505644,1,0,3,5,8,13,11,10,1,768,6.645090969505644,1,0,3,5,8,5,1.791759469228055,1,0,2,0,5,5,0,0.0,0,1,0,0,0,0,768,6.645090969505644,1,0,3,5,8,726,6.588926477533519,1,1,0,1,5,6,22,3.1354942159291497,1,1,1,2,1,2,1,4,1.0
0,1675,7.424165281042028,0,1,0,2,5,14,1,15,5,1675,7.424165281042028,0,1,0,2,5,1675,7.424165281042028,1,0,1,0,2,5,766,6.642486801367256,1,1,1,1,3,6,1675,7.424165281042028,0,1,0,2,5,65,4.189654742026425,1,0,2,0,2,5,566,6.340359303727752,1,1,2,1,6,6,1,6,973.0
1,800,6.68586094706836,1,2,0,2,0,0,5,17,3,800,6.68586094706836,1,2,0,2,0,634,6.453624998892692,1,1,1,4,4,4,0,0.0,0,1,0,0,0,0,800,6.68586094706836,1,2,0,2,0,42,3.7612001156935624,1,1,0,2,0,2,426,6.056784013228625,1,1,0,1,6,6,2,3,180.0
6,888,6.790097235513905,1,0,3,6,8,8,5,15,1,888,6.790097235513905,1,0,3,6,8,795,6.679599185844383,1,0,0,0,4,5,0,0.0,0,1,0,0,0,0,888,6.790097235513905,1,0,3,6,8,348,5.855071922202427,1,1,0,3,5,8,126,4.844187086458591,1,1,0,1,0,6,3,3,361.0
6,1628,7.395721608602045,1,2,3,4,8,15,1,16,2,1628,7.395721608602045,1,2,3,4,8,552,6.315358001522335,1,1,0,2,6,2,0,0.0,0,1,0,0,0,0,1628,7.395721608602045,1,2,3,4,8,446,6.102558594613569,1,1,2,1,5,6,492,6.20050917404269,1,1,0,2,2,2,2,3,250.0
2,1255,7.135687347028144,0,1,0,2,5,12,4,12,0,1255,7.135687347028144,0,1,0,2,5,1122,7.023758954738443,1,1,0,2,2,2,0,0.0,0,1,0,0,0,0,1255,7.135687347028144,0,1,0,2,5,118,4.77912349311153,1,1,1,3,6,8,981,6.889591308354466,1,0,0,1,1,1,1,3,99.0
5,1518,7.325807502595773,1,0,3,6,8,16,13,3,3,1518,7.325807502595773,1,0,3,6,8,715,6.573680166960646,1,0,1,0,1,5,0,0.0,0,1,0,0,0,0,1518,7.325807502595773,1,0,3,6,8,268,5.594711379601839,1,1,1,3,2,8,684,6.529418838262226,1,1,0,4,5,4,1,3,199.0
2,888,6.790097235513905,1,0,3,6,8,8,16,1,1,888,6.790097235513905,1,0,3,6,8,589,6.380122536899765,1,0,1,4,1,9,0,0.0,0,1,0,0,0,0,888,6.790097235513905,1,0,3,6,8,216,5.37989735354046,1,1,0,1,6,6,476,6.1675164908883415,1,1,2,1,0,6,1,3,103.0
2,1010,6.918695219020472,1,2,0,2,0,14,1,16,0,1010,6.918695219020472,1,2,0,2,0,778,6.658011045870748,1,1,1,3,1,8,0,0.0,0,1,0,0,0,0,1010,6.918695219020472,1,2,0,2,0,175,5.170483995038151,1,0,1,0,0,5,781,6.661854740545311,1,0,1,1,4,1,1,3,17.0
2,362,5.8944028342648505,1,2,2,5,2,2,9,4,5,362,5.8944028342648505,1,2,2,5,2,141,4.955827057601261,1,0,0,1,1,1,0,0.0,0,1,0,0,0,0,362,5.8944028342648505,1,2,2,5,2,244,5.501258210544727,1,1,1,4,6,4,62,4.143134726391533,1,1,2,2,6,2,1,3,45.0
7,1022,6.930494765951626,1,2,2,0,2,0,3,15,1,1022,6.930494765951626,1,2,2,0,2,336,5.820082930352362,1,1,0,1,0,6,0,0.0,0,1,0,0,0,0,1022,6.930494765951626,1,2,2,0,2,539,6.29156913955832,1,0,2,4,0,9,354,5.872117789475416,1,1,0,4,4,4,1,3,37.0
8,1016,6.92461239604856,1,2,1,1,6,12,6,6,3,1016,6.92461239604856,1,2,1,1,6,248,5.517452896464707,1,1,2,3,3,8,0,0.0,0,1,0,0,0,0,1016,6.92461239604856,1,2,1,1,6,657,6.489204931325317,1,0,0,2,6,7,179,5.19295685089021,1,0,2,4,4,9,1,3,83.0
