slot_tube_radius,slot_tube_radius_abs_log1p,slot_tube_radius_is_even,slot_tube_radius_mod3,slot_tube_radius_mod5,slot_tube_radius_mod7,slot_tube_radius_mod10,slot_axis_distance,slot_axis_distance_abs_log1p,slot_axis_distance_is_even,slot_axis_distance_mod3,slot_axis_distance_mod5,slot_axis_distance_mod7,slot_axis_distance_mod10,slot_sphere_radius,slot_sphere_radius_abs_log1p,slot_sphere_radius_is_even,slot_sphere_radius_mod3,slot_sphere_radius_mod5,slot_sphere_radius_mod7,slot_sphere_radius_mod10,gcd_all,n_multiple_pairs,y
15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,32,3.4965075614664802,1,2,2,4,2,1,0,7519.0
7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,0,1,5,33,3.5263605246161616,0,0,3,5,3,1,0,797.0
14,2.70805020110221,1,2,4,0,4,9,2.302585092994046,0,0,4,2,9,42,3.7612001156935624,1,0,2,0,2,1,1,31.0
16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,43,3.784189633918261,0,1,3,1,3,1,2,2969.0
7,2.0794415416798357,0,1,2,0,7,16,2.833213344056216,1,1,1,2,6,35,3.58351893845611,0,2,0,0,5,1,1,23.0
8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,2,4,0,4,2,2,145.0
2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,31,3.4657359027997265,0,1,1,3,1,1,1,1949.0
11,2.4849066497880004,0,2,1,4,1,18,2.9444389791664403,1,0,3,4,8,40,3.713572066704308,1,1,0,5,0,1,0,5773.0
14,2.70805020110221,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,24,3.2188758248682006,1,0,4,3,4,1,2,263.0
19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,49,3.912023005428146,0,1,4,0,9,1,0,1441.0
7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,25,3.258096538021482,0,1,0,4,5,1,0,207.0
12,2.5649493574615367,1,0,2,5,2,14,2.70805020110221,1,2,4,0,4,29,3.4011973816621555,0,2,4,1,9,1,0,10441.0
20,3.044522437723423,1,2,0,6,0,15,2.772588722239781,0,0,0,1,5,45,3.828641396489095,0,0,0,3,5,5,1,229.0
2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,2,4,0,4,17,2.8903717578961645,0,2,2,3,7,1,1,1237.0
15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,0,6,0,1,1,55.0
4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,2,4,0,4,22,3.1354942159291497,1,1,2,1,2,2,0,733.0
15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,32,3.4965075614664802,1,2,2,4,2,1,1,2719.0
2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,1,61.0
13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,0,2,0,1,1,3071.0
10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,35,3.58351893845611,0,2,0,0,5,1,0,71.0
2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,29,3.4011973816621555,0,2,4,1,9,1,1,1069.0
8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,15,2.772588722239781,0,0,0,1,5,1,0,1601.0
15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,28,3.367295829986474,1,1,3,0,8,1,0,7279.0
5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,13,2.6390573296152584,0,1,3,6,3,1,0,527.0
11,2.4849066497880004,0,2,1,4,1,8,2.1972245773362196,1,2,3,1,8,34,3.5553480614894135,1,1,4,6,4,1,0,7019.0
5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,2,119.0
18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,39,3.6888794541139363,0,0,4,4,9,3,2,601.0
6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,0,6,0,1,1,271.0
14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,0,6,0,2,2,331.0
6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,0,4,5,1,1,4189.0
4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,2,4,0,4,24,3.2188758248682006,1,0,4,3,4,2,1,29.0
11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,1,0,263.0
17,2.8903717578961645,0,2,2,3,7,8,2.1972245773362196,1,2,3,1,8,31,3.4657359027997265,0,1,1,3,1,1,0,569.0
2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,2,13.0
6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,19,2.995732273553991,0,1,4,5,9,1,0,2833.0
8,2.1972245773362196,1,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,0,4,5,1,0,1787.0
2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,32,3.4965075614664802,1,2,2,4,2,2,2,115.0
5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,13,2.6390573296152584,0,1,3,6,3,1,2,137.0
19,2.995732273553991,0,1,4,5,9,11,2.4849066497880004,0,2,1,4,1,42,3.7612001156935624,1,0,2,0,2,1,0,18959.0
3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,20,3.044522437723423,1,2,0,6,0,1,0,1231.0
19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,37,3.6375861597263857,0,1,2,2,7,1,0,871.0
14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,1,0,13.0
14,2.70805020110221,1,2,4,0,4,15,2.772588722239781,0,0,0,1,5,30,3.4339872044851463,1,0,0,2,0,1,1,1663.0
11,2.4849066497880004,0,2,1,4,1,12,2.5649493574615367,1,0,2,5,2,34,3.5553480614894135,1,1,4,6,4,1,0,3337.0
20,3.044522437723423,1,2,0,6,0,16,2.833213344056216,1,1,1,2,6,44,3.8066624897703196,1,2,4,2,4,4,0,58.0
12,2.5649493574615367,1,0,2,5,2,24,3.2188758248682006,1,0,4,3,4,42,3.7612001156935624,1,0,2,0,2,6,1,239.0
2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,19,2.995732273553991,0,1,4,5,9,1,1,1117.0
6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,1,2,23.0
17,2.8903717578961645,0,2,2,3,7,16,2.833213344056216,1,1,1,2,6,43,3.784189633918261,0,1,3,1,3,1,0,3119.0
5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,29,3.4011973816621555,0,2,4,1,9,1,0,281.0
9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,0,2,0,1,0,331.0
4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,0,1,5,27,3.332204510175204,0,0,2,6,7,1,0,3953.0
14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,38,3.6635616461296463,1,2,3,3,8,1,0,821.0
10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,21,3.091042453358316,0,0,1,0,1,1,1,4541.0
9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,3,3,5.0
20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,1,0,4,3,4,2,2,131.0
12,2.5649493574615367,1,0,2,5,2,9,2.302585092994046,0,0,4,2,9,26,3.295836866004329,1,2,1,5,6,1,0,1537.0
20,3.044522437723423,1,2,0,6,0,17,2.8903717578961645,0,2,2,3,7,49,3.912023005428146,0,1,4,0,9,1,0,35321.0
6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,0,4,5,1,1,2389.0
5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,28,3.367295829986474,1,1,3,0,8,1,2,1039.0
10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,19,2.995732273553991,0,1,4,5,9,1,0,2921.0
7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,1,2,191.0
8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,35,3.58351893845611,0,2,0,0,5,1,1,3401.0
13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,1,0,271.0
15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,27,3.332204510175204,0,0,2,6,7,1,0,97.0
3,1.3862943611198906,0,0,3,3,3,13,2.6390573296152584,0,1,3,6,3,26,3.295836866004329,1,2,1,5,6,1,1,2695.0
19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,33,3.5263605246161616,0,0,3,5,3,1,0,3499.0
11,2.4849066497880004,0,2,1,4,1,25,3.258096538021482,0,1,0,4,5,37,3.6375861597263857,0,1,2,2,7,1,0,10799.0
5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,32,3.4965075614664802,1,2,2,4,2,1,0,2573.0
19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,37,3.6375861597263857,0,1,2,2,7,1,0,829.0
20,3.044522437723423,1,2,0,6,0,19,2.995732273553991,0,1,4,5,9,42,3.7612001156935624,1,0,2,0,2,1,0,8321.0
16,2.833213344056216,1,1,1,2,6,10,2.3978952727983707,1,1,0,3,0,35,3.58351893845611,0,2,0,0,5,1,0,12169.0
8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,34,3.5553480614894135,1,1,4,6,4,1,0,499.0
8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,0,2,0,1,1,569.0
14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,22,3.1354942159291497,1,1,2,1,2,2,2,95.0
2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,24,3.2188758248682006,1,0,4,3,4,2,2,383.0
12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,21,3.091042453358316,0,0,1,0,1,3,1,123.0
16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,40,3.713572066704308,1,1,0,5,0,1,0,23.0
11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,22,3.1354942159291497,1,1,2,1,2,1,1,5.0
13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,1,0,4,3,4,1,1,4151.0
3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,29,3.4011973816621555,0,2,4,1,9,1,1,469.0
16,2.833213344056216,1,1,1,2,6,16,2.833213344056216,1,1,1,2,6,45,3.828641396489095,0,0,0,3,5,1,1,24809.0
13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,19,2.995732273553991,0,1,4,5,9,1,0,279.0
10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,27,3.332204510175204,0,0,2,6,7,1,1,3329.0
12,2.5649493574615367,1,0,2,5,2,9,2.302585092994046,0,0,4,2,9,22,3.1354942159291497,1,1,2,1,2,1,0,1273.0
20,3.044522437723423,1,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,32,3.4965075614664802,1,2,2,4,2,2,1,839.0
7,2.0794415416798357,0,1,2,0,7,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,0,4,5,1,0,199.0
10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,37,3.6375861597263857,0,1,2,2,7,1,2,2009.0
2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,0,1,5,1,0,761.0
9,2.302585092994046,0,0,4,2,9,12,2.5649493574615367,1,0,2,5,2,24,3.2188758248682006,1,0,4,3,4,3,1,631.0
8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,13,2.6390573296152584,0,1,3,6,3,1,1,521.0
16,2.833213344056216,1,1,1,2,6,11,2.4849066497880004,0,2,1,4,1,38,3.6635616461296463,1,2,3,3,8,1,0,331.0
7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,16,2.833213344056216,1,1,1,2,6,1,2,431.0
18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,32,3.4965075614664802,1,2,2,4,2,1,0,313.0
18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,23,3.1780538303479458,0,2,3,2,3,1,1,2689.0
13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,26,3.295836866004329,1,2,1,5,6,1,1,23.0
4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,1,2,137.0
16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,29,3.4011973816621555,0,2,4,1,9,1,1,2441.0
8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,27,3.332204510175204,0,0,2,6,7,1,1,1961.0
14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,0,2,0,1,1,403.0
10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,2,4,0,4,2,2,41.0
20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,37,3.6375861597263857,0,1,2,2,7,1,0,3283.0
6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,17,2.8903717578961645,0,2,2,3,7,1,1,865.0
12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,36,3.6109179126442243,1,0,1,1,6,6,2,29.0
11,2.4849066497880004,0,2,1,4,1,22,3.1354942159291497,1,1,2,1,2,36,3.6109179126442243,1,0,1,1,6,1,1,18599.0
13,2.6390573296152584,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,20,3.044522437723423,1,2,0,6,0,1,2,751.0
13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,33,3.5263605246161616,0,0,3,5,3,1,0,521.0
6,1.9459101490553132,1,0,1,6,6,14,2.70805020110221,1,2,4,0,4,32,3.4965075614664802,1,2,2,4,2,2,0,1591.0
20,3.044522437723423,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,30,3.4339872044851463,1,0,0,2,0,1,2,17.0
19,2.995732273553991,0,1,4,5,9,12,2.5649493574615367,1,0,2,5,2,33,3.5263605246161616,0,0,3,5,3,1,0,1972.0
4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,34,3.5553480614894135,1,1,4,6,4,2,0,193.0
20,3.044522437723423,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,24,3.2188758248682006,1,0,4,3,4,1,2,71.0
13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,0,1,6,6,21,3.091042453358316,0,0,1,0,1,1,0,887.0
